PaperID,ShortKey,DOI,OpenAccessPDF,OpenAccessLanding,LocalFile
P01,Wang_EC_NHRH_Ki67_2024,10.1530/EC-23-0429,https://ec.bioscientifica.com/downloadpdf/journals/ec/aop/ec-23-0429/ec-23-0429.pdf,https://doi.org/10.1530/ec-23-0429,ref_paper/pdfs/2024_Wang_EndocrineConnections_NHRH_Ki67_ultrasound_EC-23-0429.pdf
P02,Shen_HCS_NHRH_Sex_2025,10.1002/hcs2.70021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hcs2.70021,https://doi.org/10.1002/hcs2.70021,ref_paper/html/2025_Shen_HealthCareScience_NHRH_sex_related_DOAJ.html
P03,Yu_Frontiers_NonRemission_2024,10.3389/fendo.2024.1391014,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1391014/pdf,https://doi.org/10.3389/fendo.2024.1391014,ref_paper/pdfs/2024_Yu_Frontiers_non_remission_single_RAI_1391014.pdf
P04,Wang_Frontiers_NCR_2025,10.3389/fendo.2025.1692702,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1692702/pdf,https://doi.org/10.3389/fendo.2025.1692702,ref_paper/pdfs/2025_Wang_Frontiers_non_complete_remission_nomogram_1692702.pdf
P05,Liao_Frontiers_Refractory_2025,10.3389/fendo.2025.1628226,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1628226/pdf,https://doi.org/10.3389/fendo.2025.1628226,ref_paper/pdfs/2025_Liao_Frontiers_131I_refractory_nomogram_1628226.pdf
P06,Ma_Frontiers_TRAb_2025,10.3389/fendo.2025.1581353,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1581353/pdf,https://doi.org/10.3389/fendo.2025.1581353,ref_paper/pdfs/2025_Ma_Frontiers_TRAb_change_decision_tree_1581353.pdf
P07,Lu_Frontiers_ML_RAI_2025,10.3389/fendo.2025.1711029,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1711029/pdf,https://doi.org/10.3389/fendo.2025.1711029,ref_paper/pdfs/2025_Lu_Frontiers_interpretable_ML_RAI_1711029.pdf
P08,Duan_EC_EarlyHypothyroid_2022,10.1530/EC-22-0119,https://ec.bioscientifica.com/downloadpdf/journals/ec/11/5/EC-22-0119.pdf,https://doi.org/10.1530/ec-22-0119,ref_paper/pdfs/2022_Duan_EndocrineConnections_ML_early_hypothyroidism_EC-22-0119.pdf
P09,Feng_IJE_PredictiveFactors_2024,10.1155/2024/7535093,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1155/2024/7535093,https://doi.org/10.1155/2024/7535093,
P10,EANM_Guideline_RAI_2023,10.1007/s00259-023-06274-5,https://link.springer.com/content/pdf/10.1007/s00259-023-06274-5.pdf,https://doi.org/10.1007/s00259-023-06274-5,ref_paper/pdfs/2023_EANM_guideline_radioiodine_benign_thyroid_s00259-023-06274-5.pdf
P11,ATA_Hyperthyroidism_Guideline_2016,10.1089/thy.2016.0229,https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,https://doi.org/10.1089/thy.2016.0229,
P12,GREAT_ExternalValidation_2017,10.1530/EJE-16-0986,,,
P13,RAI_Failure_MetaAnalysis_2021,10.1016/j.amjsurg.2021.03.068,,,
P14,Putter_Landmarking2_2022,10.1002/sim.9336,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.9336,https://doi.org/10.1002/sim.9336,
P15,Devaux_BMC_Landmark_ML_2022,10.1186/s12874-022-01660-3,https://bmcmedresmethodol.biomedcentral.com/counter/pdf/10.1186/s12874-022-01660-3,https://doi.org/10.1186/s12874-022-01660-3,
P16,Rizopoulos_DynamicPrediction_JointModels_2011,10.1111/j.1541-0420.2010.01546.x,,,
P17,vanHouwelingen_Landmarking_2007,10.1111/j.1467-9469.2006.00529.x,,,
P18,VanCalster_Calibration_2019,10.1186/s12916-019-1466-7,https://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1466-7,https://doi.org/10.1186/s12916-019-1466-7,
P19,Vickers_DCA_2006,10.1177/0272989X06295361,,https://www.ncbi.nlm.nih.gov/pmc/articles/2577036,
P20,Saito_PR_AUC_2015,10.1371/journal.pone.0118432,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0118432&type=printable,https://doi.org/10.1371/journal.pone.0118432,
P21,TRIPOD_AI_2024,10.1136/bmj-2023-078378,https://www.bmj.com/content/bmj/385/bmj-2023-078378.full.pdf,https://doi.org/10.1136/bmj-2023-078378,
P22,PROBAST_AI_2025,10.1136/bmj-2024-082505,https://www.bmj.com/content/bmj/388/bmj-2024-082505.full.pdf,https://doi.org/10.1136/bmj-2024-082505,
P23,TRIPOD_2015,10.7326/M14-0697,https://dspace.library.uu.nl/handle/1874/333473,https://dspace.library.uu.nl/handle/1874/333473,
P24,PROBAST_2019,10.7326/M18-1376,https://research-information.bris.ac.uk/ws/files/182511767/probast.pdf,https://research-information.bris.ac.uk/en/publications/c422892f-82b3-4a81-a5a6-c3c6151555d5,
P25,Riley_SampleSize_2020,10.1002/sim.7992,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7992,https://doi.org/10.1002/sim.7992,
P26,Steyerberg_PerformancePrediction_2010,10.1097/EDE.0b013e3181c30fb2,,http://hdl.handle.net/1765/28287,
P27,Debray_IndividualParticipantPrediction_2017,10.1002/sim.7582,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.7582,https://doi.org/10.1002/sim.7582,
P28,Rajkomar_NPJ_EHR_2018,10.1038/s41746-018-0029-1,https://www.nature.com/articles/s41746-018-0029-1.pdf,https://doi.org/10.1038/s41746-018-0029-1,
P29,Miotto_DeepPatient_2016,10.1038/srep26094,https://www.nature.com/articles/srep26094.pdf,https://doi.org/10.1038/srep26094,
P30,Keogh_CF_DynamicPrediction_2019,10.1097/EDE.0000000000000920,,https://doi.org/10.1097/ede.0000000000000920,
