Threshold,Model_NetBenefit,TreatAll_NetBenefit,TreatNone_NetBenefit,Model
0.05,0.35450404858299595,0.3522267206477733,0.0,LR sparse stable
0.060000000000000005,0.3501432078559738,0.3453355155482815,0.0,LR sparse stable
0.07,0.34568858560794047,0.3382961124896609,0.0,LR sparse stable
0.08,0.3411371237458194,0.3311036789297659,0.0,LR sparse stable
0.09,0.3306741335587489,0.3237531699070161,0.0,LR sparse stable
0.1,0.32638888888888884,0.3162393162393162,0.0,LR sparse stable
0.11,0.3220073465859983,0.30855661192739847,0.0,LR sparse stable
0.12000000000000001,0.31752622377622375,0.30069930069930073,0.0,LR sparse stable
0.13,0.31294208664898315,0.2926613616268789,0.0,LR sparse stable
0.14,0.28711985688729874,0.2844364937388193,0.0,LR sparse stable
0.15000000000000002,0.28591628959276016,0.27601809954751133,0.0,LR sparse stable
0.16,0.2822802197802198,0.2673992673992674,0.0,LR sparse stable
0.16999999999999998,0.27855653382761814,0.2585727525486562,0.0,LR sparse stable
0.18,0.27474202626641653,0.24953095684803006,0.0,LR sparse stable
0.19,0.2708333333333333,0.24026590693257363,0.0,LR sparse stable
0.2,0.2668269230769231,0.23076923076923078,0.0,LR sparse stable
0.21000000000000002,0.26783106134371953,0.22103213242453748,0.0,LR sparse stable
0.22000000000000003,0.2639299802761341,0.2110453648915187,0.0,LR sparse stable
0.22999999999999998,0.2599275724275724,0.20079920079920083,0.0,LR sparse stable
0.24,0.2558198380566802,0.19028340080971662,0.0,LR sparse stable
0.25,0.2516025641025641,0.17948717948717952,0.0,LR sparse stable
0.26,0.26780145530145527,0.1683991683991684,0.0,LR sparse stable
0.27,0.2548735511064278,0.15700737618545837,0.0,LR sparse stable
0.28,0.25240384615384615,0.14529914529914528,0.0,LR sparse stable
0.29,0.2498645720476706,0.133261105092091,0.0,LR sparse stable
0.3,0.2472527472527472,0.1208791208791209,0.0,LR sparse stable
0.31,0.24456521739130432,0.10813823857302113,0.0,LR sparse stable
0.32,0.24830316742081449,0.09502262443438914,0.0,LR sparse stable
0.33,0.24583811710677378,0.08151549942594716,0.0,LR sparse stable
0.33999999999999997,0.24388111888111885,0.0675990675990677,0.0,LR sparse stable
0.35,0.24186390532544377,0.05325443786982248,0.0,LR sparse stable
0.36,0.23978365384615383,0.03846153846153849,0.0,LR sparse stable
0.37,0.23763736263736263,0.023199023199023172,0.0,LR sparse stable
0.38,0.23542183622828783,0.00744416873449133,0.0,LR sparse stable
0.39,0.2331336696090794,-0.008827238335435084,0.0,LR sparse stable
0.4,0.23076923076923073,-0.02564102564102566,0.0,LR sparse stable
0.41,0.22832464146023468,-0.04302477183833103,0.0,LR sparse stable
0.42,0.22579575596816975,-0.061007957559681636,0.0,LR sparse stable
0.43,0.22317813765182185,-0.07962213225371112,0.0,LR sparse stable
0.44,0.22046703296703296,-0.09890109890109888,0.0,LR sparse stable
0.45,0.21765734265734266,-0.1188811188811188,0.0,LR sparse stable
0.46,0.2147435897435897,-0.13960113960113957,0.0,LR sparse stable
0.47,0.2117198838896952,-0.16110304789550073,0.0,LR sparse stable
0.48,0.20857988165680472,-0.1834319526627219,0.0,LR sparse stable
0.49,0.20531674208144796,-0.2066365007541478,0.0,LR sparse stable
