Risk_Decile,N,Events,Mean_Predicted_Risk,Observed_Risk,Min_Predicted_Risk,Max_Predicted_Risk
1,21,0,0.026370818087163763,0.0,1e-06,0.030303030303030304
2,21,2,0.03253312344221435,0.09523809523809523,0.030303030303030304,0.03305785123966942
3,21,3,0.07448439814545695,0.14285714285714285,0.03305785123966942,0.13157894736842105
4,20,6,0.13214285714285715,0.3,0.13157894736842105,0.14285714285714285
5,21,1,0.23204398038285085,0.047619047619047616,0.14285714285714285,0.25
6,21,7,0.28098598310291856,0.3333333333333333,0.25,0.3225806451612903
7,20,11,0.5045582047685835,0.55,0.3225806451612903,0.565217391304348
8,21,16,0.6683121931531425,0.7619047619047619,0.565217391304348,0.7419354838709677
9,21,17,0.761362609559953,0.8095238095238095,0.7419354838709677,0.8235294117647058
10,21,17,0.9392267134640301,0.8095238095238095,0.8235294117647058,0.999999
