Feature,Coefficient_per_1SD,AbsCoef,OR_per_1SD,Risk_Direction,Mean_Test,SD_Test,Nomogram_Points_per_1SD,中文含义,风险方向
FT4_last_over_TSH_last_plus1,0.2408584567224797,0.2408584567224797,1.2723409312567378,higher value -> higher Hyper risk,11.38829414515246,10.760034187204164,100.0,当前 landmark FT4 / (TSH + 1) 比值,数值越高，Hyper 风险越高
FT4_3M,0.161007992794272,0.161007992794272,1.1746943578666842,higher value -> higher Hyper risk,15.007593541274677,8.675850056005016,66.84755643842207,3M 时点 游离甲状腺素 FT4,数值越高，Hyper 风险越高
FT3_3M,0.1573720788892378,0.1573720788892378,1.1704310255680686,higher value -> higher Hyper risk,6.877421621837712,5.955890822997016,65.3379918773473,3M 时点 游离三碘甲状腺原氨酸 FT3,数值越高，Hyper 风险越高
ThyroidW,0.1571451472001833,0.1571451472001833,1.1701654478136585,higher value -> higher Hyper risk,40.23040321621848,30.532063509102763,65.24377401506315,甲状腺重量/体积负荷,数值越高，Hyper 风险越高
FT3_last_over_FT4_last,0.0953641566713844,0.0953641566713844,1.1000593761562203,higher value -> higher Hyper risk,0.4242404130441111,0.1438137872125756,39.59344337295336,当前 landmark FT3 / FT4 比值,数值越高，Hyper 风险越高
FT4_mean,0.0897123679018569,0.0897123679018569,1.0938596093176507,higher value -> higher Hyper risk,22.216188370644733,7.46390151364223,37.24692465551448,截至当前 landmark 的 游离甲状腺素 FT4 均值,数值越高，Hyper 风险越高
TSH_3M,-0.0700064289379878,0.0700064289379878,0.9323878256231682,higher value -> lower Hyper risk,15.219427085281843,27.933871622318325,29.06538134081386,3M 时点 促甲状腺激素 TSH,数值越高，Hyper 风险越低
FT4_1M,0.0671289143274593,0.0671289143274593,1.0694333345676656,higher value -> higher Hyper risk,20.86044272450567,10.74444281816988,27.87069021404806,1M 时点 游离甲状腺素 FT4,数值越高，Hyper 风险越高
PctDrop_FT3_0_3M,-0.0576876382395497,0.0576876382395497,0.9439447536363234,higher value -> lower Hyper risk,0.3970044863618068,0.9939346296066774,23.950846079703247,FT3_0_3M 的百分比下降幅度,数值越高，Hyper 风险越低
ThyroidW_x_FT3_last,0.054447875006431,0.054447875006431,1.055957433204759,higher value -> higher Hyper risk,321.8862883096997,552.7843688117562,22.605755989363757,甲状腺重量/体积负荷 与 当前 landmark 的 游离三碘甲状腺原氨酸 FT3 的乘积交互,数值越高，Hyper 风险越高
TSH_last_minus_prev,-0.0539077845012403,0.0539077845012403,0.9475194784545024,higher value -> lower Hyper risk,13.536021061532354,27.339354066640325,22.381520348008205,当前 landmark TSH 减去上一个随访时点 TSH,数值越高，Hyper 风险越低
FT3_1M,0.0521796698683769,0.0521796698683769,1.053565019397541,higher value -> higher Hyper risk,9.318494584491384,7.052251479757431,21.664038945702902,1M 时点 游离三碘甲状腺原氨酸 FT3,数值越高，Hyper 风险越高
TRAb_x_FT3_last,0.0484753104775836,0.0484753104775836,1.0496694556628423,higher value -> higher Hyper risk,139.88282133620143,198.24200031614808,20.12605707817746,促甲状腺激素受体抗体 与 当前 landmark 的 游离三碘甲状腺原氨酸 FT3 的乘积交互,数值越高，Hyper 风险越高
