Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
3-Month,Train_Fit,Train Fit,Logistic Reg.,auc,AUC,0.8702457788278684,0.3049999999999999,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,acc,Accuracy,0.7987421383647799,0.3049999999999999,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,recall,Sensitivity,0.7683397683397684,0.3049999999999999,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,specificity,Specificity,0.8134328358208955,0.3049999999999999,795,259
3-Month,Train_Fit,Train Fit,Logistic Reg.,f1,F1,0.7132616487455197,0.3049999999999999,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,auc,AUC,0.8514233850054745,0.3049999999999999,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,acc,Accuracy,0.789937106918239,0.3049999999999999,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,recall,Sensitivity,0.749034749034749,0.3049999999999999,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,specificity,Specificity,0.8097014925373134,0.3049999999999999,795,259
3-Month,Validation_OOF,Validation OOF,Logistic Reg.,f1,F1,0.6990990990990991,0.3049999999999999,795,259
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,auc,AUC,0.8498046874999999,0.3049999999999999,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,acc,Accuracy,0.7932692307692307,0.3049999999999999,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,recall,Sensitivity,0.8,0.3049999999999999,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,specificity,Specificity,0.7890625,0.3049999999999999,208,80
3-Month,Test_Temporal,Temporal Test,Logistic Reg.,f1,F1,0.7485380116959064,0.3049999999999999,208,80
3-Month,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8726084826831096,0.2899999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,acc,Accuracy,0.7974842767295598,0.2899999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.7953667953667953,0.2899999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.7985074626865671,0.2899999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic LR,f1,F1,0.7190226876090751,0.2899999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.8495288999020343,0.2899999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,acc,Accuracy,0.779874213836478,0.2899999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.7722007722007722,0.2899999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.7835820895522388,0.2899999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.6956521739130435,0.2899999999999998,795,259
3-Month,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8553710937500001,0.2899999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,acc,Accuracy,0.7692307692307693,0.2899999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.8,0.2899999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.75,0.2899999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.7272727272727273,0.2899999999999998,208,80
3-Month,Train_Fit,Train Fit,SVM,auc,AUC,0.8625813980291592,0.2499999999999999,795,259
3-Month,Train_Fit,Train Fit,SVM,acc,Accuracy,0.7547169811320755,0.2499999999999999,795,259
3-Month,Train_Fit,Train Fit,SVM,recall,Sensitivity,0.8416988416988417,0.2499999999999999,795,259
3-Month,Train_Fit,Train Fit,SVM,specificity,Specificity,0.7126865671641791,0.2499999999999999,795,259
3-Month,Train_Fit,Train Fit,SVM,f1,F1,0.6909667194928685,0.2499999999999999,795,259
3-Month,Validation_OOF,Validation OOF,SVM,auc,AUC,0.8351077623465682,0.2499999999999999,795,259
3-Month,Validation_OOF,Validation OOF,SVM,acc,Accuracy,0.740880503144654,0.2499999999999999,795,259
3-Month,Validation_OOF,Validation OOF,SVM,recall,Sensitivity,0.803088803088803,0.2499999999999999,795,259
3-Month,Validation_OOF,Validation OOF,SVM,specificity,Specificity,0.710820895522388,0.2499999999999999,795,259
3-Month,Validation_OOF,Validation OOF,SVM,f1,F1,0.6688102893890675,0.2499999999999999,795,259
3-Month,Test_Temporal,Temporal Test,SVM,auc,AUC,0.81396484375,0.2499999999999999,208,80
3-Month,Test_Temporal,Temporal Test,SVM,acc,Accuracy,0.7115384615384616,0.2499999999999999,208,80
3-Month,Test_Temporal,Temporal Test,SVM,recall,Sensitivity,0.8625,0.2499999999999999,208,80
3-Month,Test_Temporal,Temporal Test,SVM,specificity,Specificity,0.6171875,0.2499999999999999,208,80
3-Month,Test_Temporal,Temporal Test,SVM,f1,F1,0.696969696969697,0.2499999999999999,208,80
3-Month,Train_Fit,Train Fit,Random Forest,auc,AUC,0.9140566472656024,0.4899999999999997,795,259
3-Month,Train_Fit,Train Fit,Random Forest,acc,Accuracy,0.8289308176100629,0.4899999999999997,795,259
3-Month,Train_Fit,Train Fit,Random Forest,recall,Sensitivity,0.8146718146718147,0.4899999999999997,795,259
3-Month,Train_Fit,Train Fit,Random Forest,specificity,Specificity,0.835820895522388,0.4899999999999997,795,259
3-Month,Train_Fit,Train Fit,Random Forest,f1,F1,0.7562724014336918,0.4899999999999997,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,auc,AUC,0.8524534662594364,0.4899999999999997,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,acc,Accuracy,0.7911949685534592,0.4899999999999997,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,recall,Sensitivity,0.7374517374517374,0.4899999999999997,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,specificity,Specificity,0.8171641791044776,0.4899999999999997,795,259
3-Month,Validation_OOF,Validation OOF,Random Forest,f1,F1,0.6970802919708029,0.4899999999999997,795,259
3-Month,Test_Temporal,Temporal Test,Random Forest,auc,AUC,0.84541015625,0.4899999999999997,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,acc,Accuracy,0.7740384615384616,0.4899999999999997,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,recall,Sensitivity,0.775,0.4899999999999997,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,specificity,Specificity,0.7734375,0.4899999999999997,208,80
3-Month,Test_Temporal,Temporal Test,Random Forest,f1,F1,0.7251461988304093,0.4899999999999997,208,80
3-Month,Train_Fit,Train Fit,Balanced RF,auc,AUC,0.9171757044891372,0.5149999999999998,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,acc,Accuracy,0.8452830188679246,0.5149999999999998,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,recall,Sensitivity,0.8764478764478765,0.5149999999999998,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,specificity,Specificity,0.8302238805970149,0.5149999999999998,795,259
3-Month,Train_Fit,Train Fit,Balanced RF,f1,F1,0.7868284228769498,0.5149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,auc,AUC,0.8514738085633607,0.5149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,acc,Accuracy,0.7874213836477988,0.5149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,recall,Sensitivity,0.7760617760617761,0.5149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,specificity,Specificity,0.792910447761194,0.5149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Balanced RF,f1,F1,0.7040280210157618,0.5149999999999998,795,259
3-Month,Test_Temporal,Temporal Test,Balanced RF,auc,AUC,0.8460937500000001,0.5149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,acc,Accuracy,0.7740384615384616,0.5149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,recall,Sensitivity,0.8375,0.5149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,specificity,Specificity,0.734375,0.5149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Balanced RF,f1,F1,0.7403314917127072,0.5149999999999998,208,80
3-Month,Train_Fit,Train Fit,MLP,auc,AUC,0.8864677577364145,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,acc,Accuracy,0.810062893081761,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,recall,Sensitivity,0.806949806949807,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,specificity,Specificity,0.8115671641791045,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,f1,F1,0.7346221441124781,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,auc,AUC,0.838493344090359,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,acc,Accuracy,0.7761006289308177,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,recall,Sensitivity,0.7799227799227799,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,specificity,Specificity,0.7742537313432836,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,f1,F1,0.6941580756013745,0.3199999999999998,795,259
