Landmark,Model,AUC,Accuracy,F1
3M,Balanced RF,0.8460937500000001,0.7740384615384616,0.7403314917127072
3M,Elastic LR,0.8553710937500001,0.7692307692307693,0.7272727272727273
3M,Elastic+LGBM Blend,0.8569335937500001,0.8028846153846154,0.7421383647798742
3M,Elastic+LGBM Blend Routed,0.8533203125,0.8125,0.7515923566878981
3M,LightGBM,0.8501953125,0.7740384615384616,0.718562874251497
3M,Logistic Reg.,0.8498046874999999,0.7932692307692307,0.7485380116959064
3M,MLP,0.84345703125,0.7788461538461539,0.7386363636363636
3M,Random Forest,0.84541015625,0.7740384615384616,0.7251461988304093
3M,SVM,0.81396484375,0.7115384615384616,0.696969696969697
6M,Balanced RF,0.905859375,0.8413461538461539,0.8070175438596491
6M,Elastic LR,0.89453125,0.8461538461538461,0.8095238095238095
6M,Elastic+LGBM Blend,0.90107421875,0.7932692307692307,0.7034482758620689
6M,LightGBM,0.9021484375,0.8365384615384616,0.7976190476190477
6M,Logistic Reg.,0.8923828125,0.8461538461538461,0.8072289156626506
6M,MLP,0.8875,0.8125,0.7796610169491526
6M,Random Forest,0.910546875,0.8365384615384616,0.8068181818181818
6M,SVM,0.8634765624999999,0.8125,0.7692307692307693
