Landmark,Model,N,Events,Prevalence,ROC_AUC,Accuracy,Sensitivity_Recall,Specificity,PPV_Precision_derived,NPV_derived,F1,Balanced_Accuracy,TP_derived,FP_derived,TN_derived,FN_derived
3 M,Balanced RF,208,80,0.38461538461538464,0.8460937500000001,0.7740384615384616,0.8375,0.734375,0.6633663366336634,0.8785046728971962,0.7403314917127072,0.7859375,67.0,34.0,94.0,13.0
3 M,Elastic LR,208,80,0.38461538461538464,0.8553710937500001,0.7692307692307693,0.8,0.75,0.6666666666666666,0.8571428571428571,0.7272727272727273,0.775,64.0,32.0,96.0,16.0
3 M,Elastic+LGBM Blend,208,80,0.38461538461538464,0.8569335937500001,0.8028846153846154,0.7375,0.84375,0.7468354430379747,0.8372093023255814,0.7421383647798742,0.790625,59.0,20.0,108.0,21.0
3 M,Elastic+LGBM Blend Routed,208,80,0.38461538461538464,0.8533203125,0.8125,0.7375,0.859375,0.7662337662337663,0.8396946564885496,0.7515923566878981,0.7984375,59.0,18.0,110.0,21.0
3 M,LightGBM,208,80,0.38461538461538464,0.8501953125,0.7740384615384616,0.75,0.7890625,0.6896551724137931,0.8347107438016529,0.718562874251497,0.76953125,60.0,27.0,101.0,20.0
3 M,Logistic Reg.,208,80,0.38461538461538464,0.8498046874999999,0.7932692307692307,0.8,0.7890625,0.7032967032967034,0.8632478632478633,0.7485380116959064,0.79453125,64.0,27.0,101.0,16.0
3 M,MLP,208,80,0.38461538461538464,0.84345703125,0.7788461538461539,0.8125,0.7578125,0.6770833333333334,0.8660714285714286,0.7386363636363636,0.78515625,65.0,31.0,97.0,15.0
3 M,Random Forest,208,80,0.38461538461538464,0.84541015625,0.7740384615384616,0.775,0.7734375,0.6813186813186813,0.8461538461538461,0.7251461988304093,0.77421875,62.0,29.0,99.0,18.0
3 M,SVM,208,80,0.38461538461538464,0.81396484375,0.7115384615384616,0.8625,0.6171875,0.5847457627118644,0.8777777777777778,0.696969696969697,0.73984375,69.0,49.0,79.0,11.0
6 M,Balanced RF,208,80,0.38461538461538464,0.905859375,0.8413461538461539,0.8625,0.828125,0.7582417582417582,0.905982905982906,0.8070175438596491,0.8453125,69.0,22.0,106.0,11.0
6 M,Elastic LR,208,80,0.38461538461538464,0.89453125,0.8461538461538461,0.85,0.84375,0.7727272727272727,0.9,0.8095238095238095,0.846875,68.0,20.0,108.0,12.0
6 M,Elastic+LGBM Blend,208,80,0.38461538461538464,0.90107421875,0.7932692307692307,0.6375,0.890625,0.7846153846153846,0.7972027972027972,0.7034482758620689,0.7640625,51.0,14.0,114.0,29.0
6 M,LightGBM,208,80,0.38461538461538464,0.9021484375,0.8365384615384616,0.8375,0.8359375,0.7613636363636364,0.8916666666666667,0.7976190476190477,0.83671875,67.0,21.0,107.0,13.0
6 M,Logistic Reg.,208,80,0.38461538461538464,0.8923828125,0.8461538461538461,0.8375,0.8515625,0.7790697674418605,0.8934426229508197,0.8072289156626506,0.84453125,67.0,19.0,109.0,13.0
6 M,MLP,208,80,0.38461538461538464,0.8875,0.8125,0.8625,0.78125,0.711340206185567,0.9009009009009009,0.7796610169491526,0.821875,69.0,28.0,100.0,11.0
6 M,Random Forest,208,80,0.38461538461538464,0.910546875,0.8365384615384616,0.8875,0.8046875,0.7395833333333334,0.9196428571428571,0.8068181818181818,0.84609375,71.0,25.0,103.0,9.0
6 M,SVM,208,80,0.38461538461538464,0.8634765624999999,0.8125,0.8125,0.8125,0.7303370786516854,0.8739495798319328,0.7692307692307693,0.8125,65.0,24.0,104.0,15.0
