FeaturePool,C,AvgNonzero,MinNonzero,MaxNonzero,MeanOOF_AUC,Chosen
M1_v2c,0.01,1.0,1,1,0.7141116035455278,0
M1_v2c,0.03,1.0,1,1,0.7242982809562181,0
M1_v2c,0.05,1.4,1,2,0.7227504700510341,0
M1_v2c,0.08,5.0,4,6,0.7188154713940371,0
M1_v2c,0.1,6.2,5,8,0.7197354284179425,0
M1_v2c,0.15,8.8,8,9,0.7228377652430835,1
M1_v2c,0.2,9.8,9,11,0.7227571850658072,0
M1_v2c,0.3,11.4,10,13,0.7212328767123287,0
M1_v2a,0.01,1.0,1,1,0.7141317485898468,0
M1_v2a,0.03,1.4,1,2,0.7239457426806339,0
M1_v2a,0.05,4.6,3,6,0.7219715283373623,0
M1_v2a,0.08,9.6,9,10,0.7193258125167876,1
M1_v2a,0.1,11.6,10,13,0.7224415793714747,0
M1_v2a,0.15,14.6,14,15,0.7234689766317486,0
M1_v2a,0.2,16.4,14,19,0.7230392156862746,0
M1_v2a,0.3,19.0,17,21,0.7214611872146119,0
