Feature,PrettyLabel,FullAUC,LOO_AUC,DeltaAUC,CI_Low,CI_High
ThyroidW,Thyroid weight,0.7246373892022563,0.6300966962127317,0.09454069298952461,0.06315178424921213,0.12557377754501023
TPOAb,Thyroid peroxidase antibody,0.7246373892022563,0.7183722804190168,0.0062651087832394925,-0.004887469565735122,0.016886478721075314
Uptake24h,24-hour thyroid RAI uptake,0.7246373892022563,0.7240598979317755,0.00057749127048079,-0.003460263601916158,0.005110099315001622
HalfLife,Effective iodine half-life,0.7246373892022563,0.7242949234488315,0.00034246575342478103,-0.002705306370114691,0.0035972737165870516
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),0.7246373892022563,0.724791834542036,-0.00015444533977970742,-0.012803024015310397,0.012767653880382085
TGAb,Thyroglobulin antibody,0.7246373892022563,0.7248119795863551,-0.00017459038409883831,-0.003991177007715996,0.0031002108476744557
TRAb,TSH receptor antibody,0.7246373892022563,0.7257050765511684,-0.0010676873489121608,-0.0060835379831558345,0.003916354577714767
FT4_0M,FT4 at baseline,0.7246373892022563,0.7260005372011819,-0.0013631479989255624,-0.0064158959057438875,0.003447945481319808
Sex,Sex,0.7246373892022563,0.7265914585012088,-0.0019540692989524766,-0.011784557355975828,0.007818525614898628
TSH_0M,TSH at baseline,0.7246373892022563,0.7272025248455547,-0.0025651356432984107,-0.007889857355693341,0.0007023256642416981
