K,Features,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,OOF_PR_AUC,OOF_Brier,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,Tmp_PR_AUC,Tmp_Brier
10,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7225092311512021,0.6862339527197352,0.7592273732811322,0.6089003631875984,0.20216643139435547,0.6852680179402901,0.6044007814524722,0.7626851130696181,0.6667247218675884,0.21081101943870728
9,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.7271272375871625,0.6910282753624194,0.7629249430234294,0.6262355374281247,0.19619472749810787,0.6859370946019414,0.6054442767887468,0.7630969836614997,0.6670120912458268,0.2090955683097461
8,ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,0.7282306495981524,0.6939966544135441,0.763622098981983,0.6214808057774674,0.19680160469205724,0.6803758752808781,0.5985608823208124,0.7572800034493582,0.6623711122605738,0.20991050277890186
7,ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7286373894672216,0.6936966361721453,0.7644689692570282,0.6195079978299466,0.19760551595846237,0.6824853380348436,0.6003701895605832,0.7575503703617502,0.660021098970872,0.2097788954308904
6,ThyroidW;Uptake24h;HalfLife;TGAb;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7297241865451846,0.6950856964718262,0.7630185927789173,0.6174932862942394,0.19789251046822712,0.6831884719684064,0.6064983011512993,0.7585338009529887,0.6576850091224431,0.20959488505512977
5,ThyroidW;Uptake24h;HalfLife;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7302935000960279,0.6952658063144734,0.7644687812974554,0.6167555795939368,0.1976956190105475,0.67685097956578,0.5984119360585488,0.7541344762999778,0.653878824961281,0.21100517278997766
4,ThyroidW;HalfLife;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7312798222481538,0.6960272396596308,0.7651096503231696,0.6237196326970464,0.19544159280599072,0.6769930767626039,0.5981861695582625,0.7547425955387497,0.6537760061356663,0.21295454319499083
3,ThyroidW;TPOAb;log1p_DiseaseDuration_Months_Aug,0.7318926521570028,0.6961655585586207,0.7653752196459178,0.625638565025274,0.1952558780062033,0.6775745101242162,0.5975403885131289,0.7556696902407686,0.6537152420999454,0.21330372646924484
2,ThyroidW;TPOAb,0.7310668185149841,0.6932208915196485,0.7650283168514221,0.6245033317000065,0.1961354643544228,0.6773332576561032,0.594831655695309,0.7543559332789622,0.6540044516513663,0.2129426270807797
1,ThyroidW,0.7247899435588309,0.6858325390515809,0.7610279266532498,0.6215055479453064,0.19659193803282432,0.6824524633138499,0.6032251164991991,0.7606281507752095,0.657176172858219,0.21123634138968064
