K,Features,PrettyFeatures
10,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,Sex;Thyroid weight;24h RAI uptake;Effective iodine half-life;TRAb;TgAb;TPOAb;FT4 (baseline);TSH (baseline);Log disease duration
9,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,Sex;Thyroid weight;24h RAI uptake;Effective iodine half-life;TRAb;TgAb;TPOAb;FT4 (baseline);Log disease duration
8,ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;log1p_DiseaseDuration_Months_Aug,Thyroid weight;24h RAI uptake;Effective iodine half-life;TRAb;TgAb;TPOAb;FT4 (baseline);Log disease duration
7,ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;log1p_DiseaseDuration_Months_Aug,Thyroid weight;24h RAI uptake;Effective iodine half-life;TRAb;TgAb;TPOAb;Log disease duration
6,ThyroidW;Uptake24h;HalfLife;TGAb;TPOAb;log1p_DiseaseDuration_Months_Aug,Thyroid weight;24h RAI uptake;Effective iodine half-life;TgAb;TPOAb;Log disease duration
5,ThyroidW;Uptake24h;HalfLife;TPOAb;log1p_DiseaseDuration_Months_Aug,Thyroid weight;24h RAI uptake;Effective iodine half-life;TPOAb;Log disease duration
4,ThyroidW;HalfLife;TPOAb;log1p_DiseaseDuration_Months_Aug,Thyroid weight;Effective iodine half-life;TPOAb;Log disease duration
3,ThyroidW;TPOAb;log1p_DiseaseDuration_Months_Aug,Thyroid weight;TPOAb;Log disease duration
2,ThyroidW;TPOAb,Thyroid weight;TPOAb
1,ThyroidW,Thyroid weight
