Method,Pool,K,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_Brier,Tmp_Brier
RandomForest,Full 10,10,0.7160241833749176,0.6783758806175005,0.752666782088321,0.6693548023244159,0.5820866404071978,0.7485719052385719,0.19779320168936776,0.2193199269267322
RandomForest,Only ThyroidW (k=1),1,0.678740145336647,0.6390925232291815,0.7159786926748422,0.648816095655907,0.5663177538165902,0.7280421354315763,0.20584245436707505,0.22287510913446573
RandomForest,Without ThyroidW (k=9),9,0.6377839755101491,0.5986102759891255,0.6755481290539835,0.6547605743475587,0.5712700694399955,0.7344553572603307,0.21974971367591792,0.22682221169759034
GradientBoosting,Full 10,10,0.6876039020004486,0.6469228321351597,0.7259705669368943,0.6581697241372798,0.5742072396092006,0.7387979342247634,0.20765736081481426,0.22029527820147288
GradientBoosting,Only ThyroidW (k=1),1,0.6973860747212073,0.6593838708308245,0.7329735117236689,0.6398123812183398,0.5591782907857997,0.7205929052034161,0.205072563054288,0.22234155220625315
GradientBoosting,Without ThyroidW (k=9),9,0.5870750714732134,0.547728554819959,0.6270383932926409,0.6158370029185453,0.5273981983638203,0.7017087103287982,0.22712621559321264,0.23560337791649005
KNN,Full 10,10,0.6827819353690274,0.6464289803340517,0.7207455532404808,0.678547281996495,0.5985771431095863,0.7538449555721061,0.20726470592869364,0.21804800975630068
KNN,Only ThyroidW (k=1),1,0.6496568974379298,0.611058009140091,0.6864832988384083,0.6006950175127022,0.5202078953220104,0.6848733391296594,0.21681839009597528,0.2358482095551489
KNN,Without ThyroidW (k=9),9,0.6046052449022109,0.5656672094897194,0.6461649342232682,0.5597990279912324,0.47745361285880633,0.6395449909007632,0.22534492389022828,0.24188665871787024
SVM_RBF,Full 10,10,0.715956151719944,0.6797691570881932,0.7520519934407057,0.6691307950301423,0.5863178755801904,0.7450089800670081,0.19956660611440408,0.22096128762397116
SVM_RBF,Only ThyroidW (k=1),1,0.6763542801019828,0.6346208521028625,0.7145951904361035,0.6771573120684418,0.5965030488177172,0.7520954756868258,0.20203807595130535,0.2213691229736098
SVM_RBF,Without ThyroidW (k=9),9,0.6181102287061461,0.5784754275475361,0.6624432489511307,0.5854061530137264,0.4996756718197537,0.6661019759810083,0.22349835360361114,0.23738734393621255
MLP,Full 10,10,0.6728795486801866,0.6358415595494663,0.7107569727013454,0.6697049916928756,0.5890427606564774,0.7501588440254149,0.21241474881815361,0.21765109913360484
MLP,Only ThyroidW (k=1),1,0.6801236663700517,0.6388438083178669,0.7176906150978508,0.6708467697602982,0.587004853839316,0.751705793726984,0.2043839209170006,0.21198325832300455
MLP,Without ThyroidW (k=9),9,0.5968799396431889,0.5572361974488801,0.6366206991912692,0.5231416153533834,0.4355914524453655,0.6099092432828946,0.2259536105047933,0.2475424212335407
