feature,OR,CI_low,CI_high,p
Sex,0.8569074907775599,0.7256334234711065,1.0119302997899078,0.06872704977891209
ThyroidW,2.4950634962296974,1.9726031076075827,3.155901877173961,2.398081733190338e-14
Uptake24h,1.0808078843224898,0.9304258227773999,1.2554957678696437,0.30934221010596086
TRAb,1.0934104753166678,0.9163858733082759,1.3046321449894667,0.32168156773861445
TPOAb,0.8211208721163499,0.6900095537676751,0.9771451466773895,0.02638582234131448
FT4_0M,1.112015112046634,0.9410371880597684,1.3140581744379998,0.21257665932164382
TSH_0M,1.1191852287661368,0.8628228681718655,1.4517181017028977,0.3962381328793607
log1p_DiseaseDuration_Months_Aug,1.2014465262208478,1.0080214548479536,1.4319871352201239,0.04044175697012342
PreRAI_ATD_Use_Clean_Aug,1.0774215210815306,0.0001,120.0,0.9999158559686658
PreRAI_ATD_Use_Missing_Aug,0.9281418464670969,0.0001,120.0,0.9999158559686658
PreRAI_ATD_Stop_Missing_Aug,0.8604004280316565,0.712454962217305,1.0390676405047805,0.11831240592989589
