Decile,N,Events,MeanPredicted,ObservedRate,CI_Low,CI_High
1,20,5,0.24243877820517407,0.25,0.11186170140766569,0.468700877618744
2,20,6,0.2643390143462812,0.3,0.1454772448676043,0.5189728183535235
3,15,5,0.2833404895230931,0.3333333333333333,0.1517632443971473,0.5828645226148023
4,22,5,0.29980523021455047,0.22727272727272727,0.10123039985248516,0.4343995317522171
5,11,2,0.31830200410342563,0.18181818181818182,0.05136768974608513,0.4769805619608442
6,19,7,0.34076314101043836,0.3684210526315789,0.19149512745135072,0.5896046683519693
7,21,7,0.37375624517964834,0.3333333333333333,0.17194752605083477,0.5462654802574476
8,16,10,0.41360332691203305,0.625,0.38641040545502714,0.8151876744113636
9,23,9,0.47538402762550935,0.391304347826087,0.22157622792477952,0.592144776086183
10,34,26,0.6500699137143161,0.7647058823529411,0.6000386207746361,0.8756301446736042
