Tier,Cut_Upper,N,Events,MeanPredictedRisk,ObservedEventRate,CI_Low,CI_High,N_Tiers,Split
Low (T1),0.2979987011189091,267,53,0.2642347438107535,0.19850187265917604,0.15508272740749107,0.25047356851178604,3,dev
Intermediate (T2),0.3757451707269502,267,82,0.332622248361211,0.30711610486891383,0.25484588520342494,0.3648578320617027,3,dev
High (T3),,268,157,0.49980397704535956,0.585820895522388,0.5260402067424712,0.643176071744106,3,dev
Low (T1),0.2979987011189091,63,18,0.26576637177368434,0.2857142857142857,0.18903191986400805,0.40702716567407127,3,temporal
Intermediate (T2),0.3757451707269502,56,17,0.3322523337698229,0.30357142857142855,0.19900325085369447,0.43335865285724834,3,temporal
High (T3),,82,47,0.5257381945258297,0.573170731707317,0.46521208028574057,0.6745805113693667,3,temporal
Q1,0.28296258453887346,201,38,0.25565177018649193,0.1890547263681592,0.14094960498963838,0.24882236441711397,4,dev
Q2,0.32939364584973896,200,45,0.30626910318513845,0.225,0.17262369715089126,0.2877412323566053,4,dev
Q3,0.4113929416243269,200,78,0.36539116527797544,0.39,0.3250834313746962,0.4590625404283025,4,dev
Q4,,201,131,0.5352747425769313,0.6517412935323383,0.5835915337789244,0.7141997451505804,4,dev
Q1,0.28296258453887346,48,15,0.2577208495865338,0.3125,0.19945683446587817,0.4533307141589159,4,temporal
Q2,0.32939364584973896,40,8,0.30280248808949184,0.2,0.10499989725437704,0.347573063463995,4,temporal
Q3,0.4113929416243269,47,19,0.3642537606512045,0.40425531914893614,0.27640034519208756,0.5465787704988904,4,temporal
Q4,,66,40,0.5584441971156109,0.6060606060606061,0.4854840080039292,0.7149699950538045,4,temporal
P1,0.27424846451550666,161,26,0.24999129319132526,0.16149068322981366,0.1126531680407133,0.22610541381238425,5,dev
P2,0.31252910482870117,160,37,0.2922059461197299,0.23125,0.17268348893654045,0.30241884096814364,5,dev
P3,0.3550719584741616,160,52,0.3315461963412728,0.325,0.2572675472298113,0.40093862108021555,5,dev
P4,0.43549021056907483,160,66,0.3909663627665493,0.4125,0.3391443296506424,0.48995875450437104,5,dev
P5,,161,111,0.5633833771295603,0.6894409937888198,0.6142509201317494,0.7558016166293611,5,dev
P1,0.27424846451550666,40,11,0.2533888962757277,0.275,0.16108016247667337,0.42834955806210573,5,temporal
P2,0.31252910482870117,37,10,0.2931303353396353,0.2702702702702703,0.15397461511049093,0.4297816832471427,5,temporal
P3,0.3550719584741616,30,9,0.33252739081120036,0.3,0.16664748268243793,0.47875787458714947,5,temporal
P4,0.43549021056907483,37,17,0.39098741565851736,0.4594594594594595,0.3103856980437303,0.6161595310782052,5,temporal
P5,,57,35,0.5795826263451485,0.6140350877192983,0.4842973291580957,0.7293727611385934,5,temporal
