Feature,PrettyLabel,MeanImportance,StdImportance,CI_Low,CI_High
ThyroidW,Thyroid weight,0.16967588862028826,0.019697911272138626,0.16243407534246573,0.17699470073417492
TPOAb,Thyroid peroxidase antibody,0.01566948697287129,0.003983292861005584,0.014164713716536749,0.017129230459306956
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),0.008772719133315392,0.006019590009947383,0.006489989032142498,0.010874731399409055
Sex,Sex,0.007579908675799052,0.003498960627501954,0.006338291252574038,0.008844961500581932
PreRAI_ATD_Stop_Missing_Aug,Missing ATD withdrawal interval indicator,0.003976631748589824,0.004317174302295731,0.00235594054973583,0.005428037425015666
FT4_0M,FT4 at baseline,0.003344748858447466,0.0029139818535575917,0.002304497940728773,0.004324738114423825
Uptake24h,24-hour thyroid RAI uptake,0.0017902229384904119,0.0018524530694306745,0.0011186207359655637,0.0024407567821648625
PreRAI_ATD_Use_Clean_Aug,Pre-RAI ATD use,0.001720386784850921,0.0018833355221894638,0.0010306540424388905,0.0024105392156862737
PreRAI_ATD_Use_Missing_Aug,Missing pre-RAI ATD use indicator,0.001720386784850921,0.0018833355221894638,0.0010256961231981327,0.0023539260453039434
TRAb,TSH receptor antibody,0.0014177634524129234,0.0020096770684259442,0.0006880539887187722,0.0021608078162771846
TSH_0M,TSH at baseline,0.0011093204405049314,0.001112791480017586,0.0007106500134300068,0.001493743844569731
