FeaturePool,Feature,Coefficient_L1,Coefficient_L2_refit,ChosenC,PrettyLabel
M1_v2c,Sex,-0.11278990079595554,-0.16180150925181633,0.15,Sex
M1_v2c,ThyroidW,0.9181096636960111,1.0089512992124894,0.15,Thyroid weight
M1_v2c,Uptake24h,0.04954236437254533,0.08903295141312888,0.15,24-hour thyroid RAI uptake
M1_v2c,HalfLife,-0.010785137184417898,-0.06087725032435031,0.15,Effective iodine half-life
M1_v2c,TRAb,0.038318151523031266,0.06869296631743915,0.15,TSH receptor antibody
M1_v2c,TGAb,-0.005864958746579148,-0.05038158250350143,0.15,Thyroglobulin antibody
M1_v2c,TPOAb,-0.09529445801843153,-0.15010031426385553,0.15,Thyroid peroxidase antibody
M1_v2c,FT4_0M,0.032167205346558196,0.055417208861711316,0.15,FT4 at baseline
M1_v2c,TSH_0M,0.06292319320558173,0.12389963036011427,0.15,TSH at baseline
M1_v2a,Sex,-0.06714140675853358,-0.1544253116279661,0.08,Sex
M1_v2a,ThyroidW,0.7938389994329931,0.9143141782703119,0.08,Thyroid weight
M1_v2a,Uptake24h,0.01061878893233696,0.07770880253222023,0.08,24-hour thyroid RAI uptake
M1_v2a,TRAb,0.01752501433435277,0.08930168793101062,0.08,TSH receptor antibody
M1_v2a,TPOAb,-0.06158373789176665,-0.19708495488964115,0.08,Thyroid peroxidase antibody
M1_v2a,FT4_0M,0.035802210708587266,0.10617378570604248,0.08,FT4 at baseline
M1_v2a,TSH_0M,0.026291123643575384,0.11260094625321267,0.08,TSH at baseline
M1_v2a,log1p_DiseaseDuration_Months_Aug,0.09718057657756701,0.1835262693536579,0.08,Log disease duration (months)
M1_v2a,PreRAI_ATD_Use_Clean_Aug,0.040479577466099315,0.07457070608014146,0.08,Pre-RAI ATD use
M1_v2a,PreRAI_ATD_Use_Missing_Aug,-0.04047957746610037,-0.0745707060801415,0.08,Missing pre-RAI ATD use indicator
M1_v2a,PreRAI_ATD_Stop_Missing_Aug,-0.05804926185710421,-0.1503573841088433,0.08,Missing ATD withdrawal interval indicator
