Feature,PrettyLabel,InFinalSelected,FoldsSelected_of_5,CoefMean,CoefStd,CoefCV
ThyroidW,Thyroid weight,True,5,0.7688013992857101,0.058801008736656946,0.07648400326962033
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),True,5,0.07700194722516152,0.041424568973006955,0.5379678107603865
PreRAI_ATD_Use_Missing_Aug,Missing pre-RAI ATD use indicator,False,5,-0.031956792135161685,0.01233369261012959,0.38594902010076826
PreRAI_ATD_Use_Clean_Aug,Pre-RAI ATD use,False,5,0.031956792135161546,0.012333692610129385,0.3859490201007635
TPOAb,Thyroid peroxidase antibody,True,5,-0.030419358195765384,0.022686304388072658,0.745785109668447
TSH_0M,TSH at baseline,True,5,0.01756824284515491,0.01589478046447683,0.9047450336708205
FT4_0M,FT4 at baseline,True,5,0.015449554888129557,0.02569920887701886,1.663427138393772
Sex,Sex,True,4,-0.05242281787392857,0.0515272455891233,0.9829163650271713
PreRAI_ATD_Stop_Missing_Aug,Missing ATD withdrawal interval indicator,False,4,-0.04435252681510352,0.036655194003413154,0.8264510871324434
TRAb,TSH receptor antibody,True,2,0.012369601757516679,0.01746856663902459,1.4122173843154981
Uptake24h,24-hour thyroid RAI uptake,True,2,0.001958884870106442,0.003425377313597023,1.748636362386573
PreRAI_ATD_Stop_Days_Aug,Pre-RAI ATD withdrawal (days),False,1,-0.00840625144794636,0.0187969496735641,2.2360679774997902
HalfLife,Effective iodine half-life,True,0,0.0,0.0,
TGAb,Thyroglobulin antibody,True,0,0.0,0.0,
