Feature,PrettyLabel,InFinalSelected,FoldsSelected_of_5,CoefMean,CoefStd,CoefCV
ThyroidW,Thyroid weight,True,5,0.9002175183860093,0.051219320378839424,0.05689660480132626
Sex,Sex,True,5,-0.10168164874721523,0.06525161719660114,0.641724617967391
TPOAb,Thyroid peroxidase antibody,True,5,-0.07943215882834369,0.02653338765037476,0.3340383547640264
Uptake24h,24-hour thyroid RAI uptake,True,5,0.03929864697628592,0.015930849063285478,0.4053790725390284
TSH_0M,TSH at baseline,True,5,0.0391207171901454,0.05140002271642798,1.3138824236426772
TRAb,TSH receptor antibody,True,5,0.03128987124674489,0.026653506019036488,0.8518253657502433
FT4_0M,FT4 at baseline,True,5,0.02478715268378889,0.016072157630127676,0.6484067708446025
HalfLife,Effective iodine half-life,True,3,-0.013013559920722149,0.012167693375072477,0.9350011410557417
TGAb,Thyroglobulin antibody,True,2,-0.011148087505411406,0.019415106439609517,1.741563871846647
Age,Age at radioiodine therapy,False,2,0.005648357997909146,0.008084999325740213,1.431389322123888
logTSH_0M,Log-transformed TSH at baseline,False,2,0.004994902731191554,0.012371325567642514,2.476790086499099
