Feature,PrettyLabel,MeanAbsSHAP,MeanSignedSHAP
ThyroidW,Thyroid weight,0.6554073759193781,0.0006307588986696448
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),0.19553845291176325,-0.007250553588886059
TPOAb,Thyroid peroxidase antibody,0.18281480941345657,0.01592331447593623
Sex,Sex,0.11817275556868477,-0.020221927209096085
TRAb,TSH receptor antibody,0.07500474359174719,-0.006924184880024919
FT4_0M,FT4 at baseline,0.07029546351491578,0.0015579683068871507
HalfLife,Effective iodine half-life,0.03574361051282773,-2.202037391865468e-05
TGAb,Thyroglobulin antibody,0.027268105826597947,-0.008510622070672422
Uptake24h,24-hour thyroid RAI uptake,0.01911588784278906,-0.005484036270857394
TSH_0M,TSH at baseline,0.00477961987969737,0.0044929657830067365
