Feature,PrettyLabel,Frequency_k_over_n,Count,Total
ThyroidW,Thyroid weight,1.0,500,500
log1p_DiseaseDuration_Months_Aug,Log disease duration,0.884,442,500
PreRAI_ATD_Use_Clean_Aug,Pre-RAI ATD use,0.842,421,500
PreRAI_ATD_Use_Missing_Aug,Pre-RAI ATD use (missing),0.842,421,500
Sex,Sex,0.786,393,500
TPOAb,TPOAb,0.776,388,500
PreRAI_ATD_Stop_Missing_Aug,Pre-RAI ATD stop (missing),0.77,385,500
TSH_0M,TSH (baseline),0.722,361,500
TRAb,TRAb,0.588,294,500
FT4_0M,FT4 (baseline),0.56,280,500
Uptake24h,24h RAI uptake,0.554,277,500
PreRAI_ATD_Stop_Days_Aug,Pre-RAI ATD stop (days),0.548,274,500
EyeSigns_Source_Positive_Aug,Eye signs positive,0.396,198,500
EyeSigns_Source_Missing_Aug,Eye signs (missing),0.396,198,500
HalfLife,Effective iodine half-life,0.394,197,500
DiseaseDuration_Missing_Aug,Disease duration (missing),0.362,181,500
TGAb,TgAb,0.332,166,500
Age,Age,0.33,165,500
TSH_Recovered_0M,TSH recovered at baseline,0.314,157,500
Comorbidity_TextPresent,Comorbidity present,0.306,153,500
MaxUptake,Max uptake,0.296,148,500
log1p_PreRAI_ATD_Stop_Days_Aug,Log pre-RAI ATD stop (days),0.25,125,500
logTSH_0M,log TSH (baseline),0.196,98,500
FT3_0M,FT3 (baseline),0.11,55,500
DiseaseDuration_Months_Aug,Disease duration (months),0.106,53,500
PreRAI_ATD_NotUsed_FromStop_Aug,Pre-RAI ATD not used,0.0,0,500
