Feature,PrettyLabel,Frequency_k_over_n,Count,Total
ThyroidW,Thyroid weight,1.0,500,500
Sex,Sex,0.932,466,500
TPOAb,TPOAb,0.886,443,500
TSH_0M,TSH (baseline),0.8,400,500
Uptake24h,24h RAI uptake,0.764,382,500
TRAb,TRAb,0.732,366,500
HalfLife,Effective iodine half-life,0.676,338,500
FT4_0M,FT4 (baseline),0.642,321,500
TGAb,TgAb,0.61,305,500
Age,Age,0.588,294,500
MaxUptake,Max uptake,0.574,287,500
TSH_Recovered_0M,TSH recovered at baseline,0.572,286,500
FT3_0M,FT3 (baseline),0.458,229,500
logTSH_0M,log TSH (baseline),0.308,154,500
