Sex=Male (N=622),Sex=Female (N=180),Age<35 (N=263),35≤Age<52 (N=271),Age≥52 (N=268),TRAb<9.4 (N=267),9.4≤TRAb<23.0 (N=267),TRAb≥23.0 (N=268),Subgroup_HitRate,Feature,PrettyLabel
1,1,1,1,1,1,1,1,1.0,ThyroidW,Thyroid weight
1,0,0,0,1,1,0,0,0.375,PreRAI_ATD_Use_Missing_Aug,Pre-RAI ATD use (missing)
1,0,0,0,1,1,0,0,0.375,PreRAI_ATD_Use_Clean_Aug,Pre-RAI ATD use
1,0,0,1,0,0,1,0,0.375,log1p_DiseaseDuration_Months_Aug,Log disease duration
0,0,1,0,0,0,0,1,0.25,FT4_0M,FT4 (baseline)
0,0,0,1,0,0,0,1,0.25,Sex,Sex
1,0,0,1,0,0,0,0,0.25,TRAb,TRAb
0,0,0,0,0,0,1,0,0.125,logTSH_0M,log TSH (baseline)
1,0,0,0,0,0,0,0,0.125,TSH_0M,TSH (baseline)
0,0,1,0,0,0,0,0,0.125,Age,Age
1,0,0,0,0,0,0,0,0.125,EyeSigns_Source_Positive_Aug,Eye signs positive
0,0,0,0,0,0,1,0,0.125,TGAb,TgAb
1,0,0,0,0,0,0,0,0.125,EyeSigns_Source_Missing_Aug,Eye signs (missing)
0,0,0,0,0,0,0,1,0.125,MaxUptake,Max uptake
0,0,0,0,1,0,0,0,0.125,Uptake24h,24h RAI uptake
0,0,0,0,0,0,0,0,0.0,PreRAI_ATD_Stop_Days_Aug,Pre-RAI ATD stop (days)
0,0,0,0,0,0,0,0,0.0,log1p_PreRAI_ATD_Stop_Days_Aug,Log pre-RAI ATD stop (days)
0,0,0,0,0,0,0,0,0.0,PreRAI_ATD_Stop_Missing_Aug,Pre-RAI ATD stop (missing)
0,0,0,0,0,0,0,0,0.0,PreRAI_ATD_NotUsed_FromStop_Aug,Pre-RAI ATD not used
0,0,0,0,0,0,0,0,0.0,TSH_Recovered_0M,TSH recovered at baseline
0,0,0,0,0,0,0,0,0.0,DiseaseDuration_Missing_Aug,Disease duration (missing)
0,0,0,0,0,0,0,0,0.0,DiseaseDuration_Months_Aug,Disease duration (months)
0,0,0,0,0,0,0,0,0.0,FT3_0M,FT3 (baseline)
0,0,0,0,0,0,0,0,0.0,TPOAb,TPOAb
0,0,0,0,0,0,0,0,0.0,HalfLife,Effective iodine half-life
0,0,0,0,0,0,0,0,0.0,Comorbidity_TextPresent,Comorbidity present
