Sex=Male (N=622),Sex=Female (N=180),Age<35 (N=263),35≤Age<52 (N=271),Age≥52 (N=268),TRAb<9.4 (N=267),9.4≤TRAb<23.0 (N=267),TRAb≥23.0 (N=268),Subgroup_HitRate,Feature,PrettyLabel
1,1,1,1,1,1,1,1,1.0,ThyroidW,Thyroid weight
1,0,0,1,1,0,1,1,0.625,TRAb,TRAb
0,1,1,1,0,1,0,1,0.625,TPOAb,TPOAb
1,0,0,1,1,0,0,1,0.5,TSH_0M,TSH (baseline)
0,0,1,1,1,0,0,0,0.375,Age,Age
1,0,0,0,1,0,0,1,0.375,Uptake24h,24h RAI uptake
0,0,1,0,1,0,0,1,0.375,MaxUptake,Max uptake
0,0,0,1,0,0,1,1,0.375,HalfLife,Effective iodine half-life
1,0,0,0,0,0,1,1,0.375,TGAb,TgAb
0,0,1,1,0,0,0,1,0.375,FT4_0M,FT4 (baseline)
0,0,0,1,0,0,0,1,0.25,Sex,Sex
0,0,0,0,0,0,1,1,0.25,logTSH_0M,log TSH (baseline)
0,0,0,1,0,0,0,0,0.125,TSH_Recovered_0M,TSH recovered at baseline
0,0,0,0,0,0,0,0,0.0,FT3_0M,FT3 (baseline)
