Strategy,Strategy_Label,Split,Cut_Low,Cut_Mid,Cut_High,Tier,N,Events,ObservedRate,CI_Low,CI_High
S1_sample_equal,S1 Sample-equal (current),Dev_OOF,0.273855757892766,0.3321735445910001,0.42005575509300314,Q1,201,37,0.18407960199004975,0.1366024448950368,0.24340587602222358
S1_sample_equal,S1 Sample-equal (current),Dev_OOF,0.273855757892766,0.3321735445910001,0.42005575509300314,Q2,200,45,0.225,0.17262369715089126,0.2877412323566053
S1_sample_equal,S1 Sample-equal (current),Dev_OOF,0.273855757892766,0.3321735445910001,0.42005575509300314,Q3,200,82,0.41,0.34415674908482885,0.4792354096630791
S1_sample_equal,S1 Sample-equal (current),Dev_OOF,0.273855757892766,0.3321735445910001,0.42005575509300314,Q4,201,128,0.6368159203980099,0.5683420576401774,0.7001582758208516
S1_sample_equal,S1 Sample-equal (current),Temporal_Test,0.273855757892766,0.3321735445910001,0.42005575509300314,Q1,52,15,0.28846153846153844,0.18329960414709912,0.4227278803668426
S1_sample_equal,S1 Sample-equal (current),Temporal_Test,0.273855757892766,0.3321735445910001,0.42005575509300314,Q2,38,9,0.23684210526315788,0.12993707017054082,0.39206812363239807
S1_sample_equal,S1 Sample-equal (current),Temporal_Test,0.273855757892766,0.3321735445910001,0.42005575509300314,Q3,46,18,0.391304347826087,0.26393225037829016,0.5354315676837925
S1_sample_equal,S1 Sample-equal (current),Temporal_Test,0.273855757892766,0.3321735445910001,0.42005575509300314,Q4,65,40,0.6153846153846154,0.493842028060131,0.7240499262499791
S2_events_equal,S2 Events-equal,Dev_OOF,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q1,362,72,0.19889502762430938,0.16103142204144505,0.24308204092491065
S2_events_equal,S2 Events-equal,Dev_OOF,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q2,195,73,0.37435897435897436,0.30947558887188725,0.44409692920048366
S2_events_equal,S2 Events-equal,Dev_OOF,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q3,152,73,0.48026315789473684,0.4023080874564109,0.5591912462548873
S2_events_equal,S2 Events-equal,Dev_OOF,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q4,93,74,0.7956989247311828,0.7028149970672777,0.8651235766569649
S2_events_equal,S2 Events-equal,Temporal_Test,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q1,84,22,0.2619047619047619,0.17978478378725543,0.3648493726006779
S2_events_equal,S2 Events-equal,Temporal_Test,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q2,44,19,0.4318181818181818,0.2968272340851781,0.5777585300637057
S2_events_equal,S2 Events-equal,Temporal_Test,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q3,36,15,0.4166666666666667,0.2714056205144606,0.5779974842512834
S2_events_equal,S2 Events-equal,Temporal_Test,0.32018813279687186,0.39654698711341346,0.5450850707341459,Q4,37,26,0.7027027027027027,0.5421686408886435,0.8251052135016799
S3_cum_rate_equal,S3 Cumulative-rate-equal,Dev_OOF,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q1,740,243,0.32837837837837835,0.29550432048389813,0.3630250650619165
S3_cum_rate_equal,S3 Cumulative-rate-equal,Dev_OOF,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q2,61,49,0.8032786885245902,0.6869005942449246,0.8837219776857282
S3_cum_rate_equal,S3 Cumulative-rate-equal,Dev_OOF,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q3,0,0,,,
S3_cum_rate_equal,S3 Cumulative-rate-equal,Dev_OOF,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q4,1,0,0.0,0.0,0.7934506856227626
S3_cum_rate_equal,S3 Cumulative-rate-equal,Temporal_Test,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q1,173,58,0.3352601156069364,0.26916858230307594,0.4085088108822271
S3_cum_rate_equal,S3 Cumulative-rate-equal,Temporal_Test,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q2,28,24,0.8571428571428571,0.685101978364747,0.9430099468025059
S3_cum_rate_equal,S3 Cumulative-rate-equal,Temporal_Test,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q3,0,0,,,
S3_cum_rate_equal,S3 Cumulative-rate-equal,Temporal_Test,0.6014597503262937,0.8294033973020777,0.8294033973020777,Q4,0,0,,,
S4_isotonic_binned,S4 Isotonic-binned,Dev_OOF,0.2628608292394919,0.331592893423949,0.40561011061958174,Q1,166,28,0.1686746987951807,0.11935554181412962,0.23298162742715822
S4_isotonic_binned,S4 Isotonic-binned,Dev_OOF,0.2628608292394919,0.331592893423949,0.40561011061958174,Q2,232,52,0.22413793103448276,0.17522031289001047,0.2820422030388957
S4_isotonic_binned,S4 Isotonic-binned,Dev_OOF,0.2628608292394919,0.331592893423949,0.40561011061958174,Q3,175,69,0.3942857142857143,0.32489728827425557,0.4682155601447674
S4_isotonic_binned,S4 Isotonic-binned,Dev_OOF,0.2628608292394919,0.331592893423949,0.40561011061958174,Q4,229,143,0.6244541484716157,0.5601656686217056,0.6846360960154694
S4_isotonic_binned,S4 Isotonic-binned,Temporal_Test,0.2628608292394919,0.331592893423949,0.40561011061958174,Q1,41,11,0.2682926829268293,0.1569496404781167,0.41933533107076637
S4_isotonic_binned,S4 Isotonic-binned,Temporal_Test,0.2628608292394919,0.331592893423949,0.40561011061958174,Q2,49,13,0.2653061224489796,0.16211282134957408,0.4026228897131079
S4_isotonic_binned,S4 Isotonic-binned,Temporal_Test,0.2628608292394919,0.331592893423949,0.40561011061958174,Q3,43,18,0.4186046511627907,0.28384550927849195,0.5667142261303578
S4_isotonic_binned,S4 Isotonic-binned,Temporal_Test,0.2628608292394919,0.331592893423949,0.40561011061958174,Q4,68,40,0.5882352941176471,0.46961466753105385,0.697419802494816
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Dev_OOF,0.2,0.35,0.55,Q1,11,3,0.2727272727272727,0.09746059290024889,0.5656453011761291
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Dev_OOF,0.2,0.35,0.55,Q2,449,102,0.22717149220489977,0.1908249000823145,0.2681468984848093
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Dev_OOF,0.2,0.35,0.55,Q3,251,115,0.4581673306772908,0.3976219553444419,0.519973870322309
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Dev_OOF,0.2,0.35,0.55,Q4,91,72,0.7912087912087912,0.6967681450525728,0.862059193318519
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Temporal_Test,0.2,0.35,0.55,Q1,0,0,,,
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Temporal_Test,0.2,0.35,0.55,Q2,102,28,0.27450980392156865,0.19728206946014681,0.36810562915492484
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Temporal_Test,0.2,0.35,0.55,Q3,65,28,0.4307692307692308,0.3175945741563928,0.5516702532575414
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),Temporal_Test,0.2,0.35,0.55,Q4,34,26,0.7647058823529411,0.6000386207746361,0.8756301446736042
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Dev_OOF,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q1,86,12,0.13953488372093023,0.08165847155571476,0.22823697299912266
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Dev_OOF,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q2,43,10,0.23255813953488372,0.1315367847938448,0.37744520297809003
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Dev_OOF,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q3,591,205,0.34686971235194586,0.30959591517665125,0.38612132625631396
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Dev_OOF,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q4,82,65,0.7926829268292683,0.6928342703478702,0.8663360962725591
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Temporal_Test,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q1,19,6,0.3157894736842105,0.1536437908779228,0.5398959232467253
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Temporal_Test,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q2,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",Temporal_Test,0.24179869803777135,0.2549730387316905,0.5587700297791833,Q3,136,49,0.3602941176470588,0.2844694454006204,0.44379425893670404
