N_Tiers,Split,Tier,N,Events,ObservedEventRate,CI_Low,CI_High
3,Dev_OOF,Low,267,53,0.19850187265917604,0.15508272740749107,0.25047356851178604
3,Dev_OOF,Intermediate,267,80,0.299625468164794,0.2478371727633107,0.3570977568227928
3,Dev_OOF,High,268,159,0.5932835820895522,0.5335566211698786,0.6503741163155314
3,Temporal_Test,Low,67,19,0.2835820895522388,0.18970281181710177,0.4009323828448048
3,Temporal_Test,Intermediate,50,16,0.32,0.20758216260656845,0.45810297308144077
3,Temporal_Test,High,84,47,0.5595238095238095,0.45307101720468923,0.6607704436983275
4,Dev_OOF,Q1,201,37,0.18407960199004975,0.1366024448950368,0.24340587602222358
4,Dev_OOF,Q2,200,45,0.225,0.17262369715089126,0.2877412323566053
4,Dev_OOF,Q3,200,82,0.41,0.34415674908482885,0.4792354096630791
4,Dev_OOF,Q4,201,128,0.6368159203980099,0.5683420576401774,0.7001582758208516
4,Temporal_Test,Q1,52,15,0.28846153846153844,0.18329960414709912,0.4227278803668426
4,Temporal_Test,Q2,38,9,0.23684210526315788,0.12993707017054082,0.39206812363239807
4,Temporal_Test,Q3,46,18,0.391304347826087,0.26393225037829016,0.5354315676837925
4,Temporal_Test,Q4,65,40,0.6153846153846154,0.493842028060131,0.7240499262499791
5,Dev_OOF,P1,161,28,0.17391304347826086,0.12315324071468564,0.23987108125389456
5,Dev_OOF,P2,160,36,0.225,0.16718260299010437,0.29571280435422354
5,Dev_OOF,P3,160,47,0.29375,0.2286747315770294,0.3684968239312166
5,Dev_OOF,P4,160,70,0.4375,0.3629909872161968,0.5149397871802415
5,Dev_OOF,P5,161,111,0.6894409937888198,0.6142509201317494,0.7558016166293611
5,Temporal_Test,P1,39,10,0.2564102564102564,0.14568780540992585,0.4108165592168397
5,Temporal_Test,P2,36,11,0.3055555555555556,0.1800445159482992,0.4685627285051034
5,Temporal_Test,P3,31,8,0.25806451612903225,0.13701705906393744,0.43246135809433794
5,Temporal_Test,P4,44,21,0.4772727272727273,0.337549910322511,0.6206453443937836
5,Temporal_Test,P5,51,32,0.6274509803921569,0.4902521346885088,0.7467948053373558
