Step,BlockAdded,Split,Landmark,Delta_AUC_mean,Delta_AUC_CI_Low,Delta_AUC_CI_High,CI_excludes_zero
M2-Base.1 (+ B),B,Dev OOF,0M,0.00024995321078144603,-0.0045395990452699484,0.004859874316452336,False
M2-Base.1 (+ B),B,Temporal,0M,-0.0006368289294014277,-0.004444940476190396,0.0035870406494510477,False
M2-Base.1 (+ B),B,Dev OOF,1M,0.00024995321078144603,-0.0045395990452699484,0.004859874316452336,False
M2-Base.1 (+ B),B,Temporal,1M,-0.0006368289294014277,-0.004444940476190396,0.0035870406494510477,False
M2-Base.1 (+ B),B,Dev OOF,3M,0.00024995321078144603,-0.0045395990452699484,0.004859874316452336,False
M2-Base.1 (+ B),B,Temporal,3M,-0.0006368289294014277,-0.004444940476190396,0.0035870406494510477,False
M2-Base.1 (+ B),B,Dev OOF,6M,0.00024995321078144603,-0.0045395990452699484,0.004859874316452336,False
M2-Base.1 (+ B),B,Temporal,6M,-0.0006368289294014277,-0.004444940476190396,0.0035870406494510477,False
M2-Base.1 (+ B),B,Dev OOF,Pooled,0.00024995321078144603,-0.0045395990452699484,0.004859874316452336,False
M2-Base.1 (+ B),B,Temporal,Pooled,-0.0006368289294014277,-0.004444940476190396,0.0035870406494510477,False
M2-Base.2 (+ C),C,Dev OOF,0M,-0.003913657502153576,-0.010331716967080781,0.0026292945415142374,False
M2-Base.2 (+ C),C,Temporal,0M,-0.004630074278096881,-0.01536640211640213,0.005099780270234824,False
M2-Base.2 (+ C),C,Dev OOF,1M,0.011853082520575027,0.005358339410941765,0.019016990291559545,True
M2-Base.2 (+ C),C,Temporal,1M,0.021409430532972857,0.00581704967727075,0.03911744392004826,True
M2-Base.2 (+ C),C,Dev OOF,3M,0.06131547118633395,0.0411806862407845,0.08186795549063466,True
M2-Base.2 (+ C),C,Temporal,3M,0.04683744188196391,0.008859140688417571,0.08392218879216097,True
M2-Base.2 (+ C),C,Dev OOF,6M,-0.002061805290326163,-0.005828006832037766,0.0015787623432271458,False
M2-Base.2 (+ C),C,Temporal,6M,0.001820444165376308,-0.0038208597478260912,0.00803891449052744,False
M2-Base.2 (+ C),C,Dev OOF,Pooled,0.01835529684244391,0.012095099787309436,0.02509022081267035,True
M2-Base.2 (+ C),C,Temporal,Pooled,0.018537996821767808,0.005422271777782544,0.032551211671004214,True
M2-Base.3 (+ D),D,Dev OOF,0M,0.0008236592559245505,-0.001210910661919301,0.002888638936783719,False
M2-Base.3 (+ D),D,Temporal,0M,0.0008690743580322828,-0.0038570618264321677,0.005658777534669248,False
M2-Base.3 (+ D),D,Dev OOF,1M,0.0003798290453559433,-0.005258644298884019,0.005814312371168955,False
M2-Base.3 (+ D),D,Temporal,1M,-0.005492763271893029,-0.01843120898676453,0.006410214272481048,False
M2-Base.3 (+ D),D,Dev OOF,3M,-0.0038121019761350548,-0.009650075100169098,0.000998127728413586,False
M2-Base.3 (+ D),D,Temporal,3M,0.006994976534196565,-0.004106475661708333,0.019983864263755684,False
M2-Base.3 (+ D),D,Dev OOF,6M,0.037707159138481744,0.02164820609484999,0.0534561998052338,True
M2-Base.3 (+ D),D,Temporal,6M,0.02800369236553943,-0.0022247076023391454,0.05906087080717013,False
M2-Base.3 (+ D),D,Dev OOF,Pooled,0.008833779973048482,0.0038804287592135583,0.013358007857825857,True
M2-Base.3 (+ D),D,Temporal,Pooled,0.007912034262472296,3.519677560478453e-05,0.016291226856596393,True
M2-Base.4 (+ E full),E,Dev OOF,0M,-0.006571008075038883,-0.01163768049954209,-0.0014118161738256424,True
M2-Base.4 (+ E full),E,Temporal,0M,-0.0028843849596568555,-0.012527777955955758,0.006251434689353857,False
M2-Base.4 (+ E full),E,Dev OOF,1M,0.004124252759611662,-0.006146154911632862,0.014857745100710213,False
M2-Base.4 (+ E full),E,Temporal,1M,0.019642988018924456,-0.0012275132275132241,0.04392411608833071,False
M2-Base.4 (+ E full),E,Dev OOF,3M,0.03196591202942211,0.01555917940546725,0.0489962157917684,True
M2-Base.4 (+ E full),E,Temporal,3M,0.030914095265243274,-0.0032825877825877203,0.06933177151139025,False
M2-Base.4 (+ E full),E,Dev OOF,6M,0.0535396081807608,0.030912706945405106,0.07632259936415545,True
M2-Base.4 (+ E full),E,Temporal,6M,0.05470622770895467,0.008186670998803365,0.09792797613538208,True
M2-Base.4 (+ E full),E,Dev OOF,Pooled,0.023267572928210096,0.010620784689679166,0.0355081568878139,True
M2-Base.4 (+ E full),E,Temporal,Pooled,0.026797457721945594,0.0022554146221425027,0.05449001102525823,True
