Step,BlocksIncluded,NFeatures,Split,Landmark,N,Events,ROC_AUC,PR_AUC,Brier,ROC_AUC_CI_Low,ROC_AUC_CI_High,CalibIntercept,CalibSlope
M2-Base.0 (A only),A,8,Development,0M,802,292,0.719204942250873,0.620611137542633,0.19828375978298834,0.6818821128969035,0.7560689784775083,-0.0032023110253189407,0.9944438732487176
M2-Base.0 (A only),A,8,Development,1M,802,292,0.719204942250873,0.620611137542633,0.19828375978298834,0.6818821128969035,0.7560689784775083,-0.0032023110253189407,0.9944438732487176
M2-Base.0 (A only),A,8,Development,3M,802,292,0.719204942250873,0.620611137542633,0.19828375978298834,0.6818821128969035,0.7560689784775083,-0.0032023110253189407,0.9944438732487176
M2-Base.0 (A only),A,8,Development,6M,802,292,0.719204942250873,0.620611137542633,0.19828375978298834,0.6818821128969035,0.7560689784775083,-0.0032023110253189407,0.9944438732487176
M2-Base.0 (A only),A,8,Development,Pooled,3208,1168,0.719204942250873,0.620611137542633,0.19828375978298834,0.6818821128969035,0.7560689784775083,0.0028134516216729638,1.004878255083859
M2-Base.0 (A only),A,8,Temporal,0M,201,82,0.6857962697274032,0.6671965157510653,0.2085122351955815,0.6064946662750972,0.7628678392487278,-0.004477815801145513,0.9152457198158548
M2-Base.0 (A only),A,8,Temporal,1M,201,82,0.6857962697274032,0.6671965157510653,0.2085122351955815,0.6064946662750972,0.7628678392487278,-0.004477815801145513,0.9152457198158548
M2-Base.0 (A only),A,8,Temporal,3M,201,82,0.6857962697274032,0.6671965157510653,0.2085122351955815,0.6064946662750972,0.7628678392487278,-0.004477815801145513,0.9152457198158548
M2-Base.0 (A only),A,8,Temporal,6M,201,82,0.6857962697274032,0.6671965157510653,0.2085122351955815,0.6064946662750972,0.7628678392487278,-0.004477815801145513,0.9152457198158548
M2-Base.0 (A only),A,8,Temporal,Pooled,804,328,0.6857962697274032,0.6671965157510653,0.2085122351955815,0.6064946662750972,0.7628678392487278,0.007908524756263966,0.9427948572503267
M2-Base.1 (+ B),A+B,10,Development,0M,802,292,0.7194802578565673,0.6162196705303924,0.19908208881168826,0.6828564822957265,0.755604712939185,-0.0034348020705910333,0.9940229253369869
M2-Base.1 (+ B),A+B,10,Development,1M,802,292,0.7194802578565673,0.6162196705303924,0.19908208881168826,0.6828564822957265,0.755604712939185,-0.0034348020705910333,0.9940229253369869
M2-Base.1 (+ B),A+B,10,Development,3M,802,292,0.7194802578565673,0.6162196705303924,0.19908208881168826,0.6828564822957265,0.755604712939185,-0.0034348020705910333,0.9940229253369869
M2-Base.1 (+ B),A+B,10,Development,6M,802,292,0.7194802578565673,0.6162196705303924,0.19908208881168826,0.6828564822957265,0.755604712939185,-0.0034348020705910333,0.9940229253369869
M2-Base.1 (+ B),A+B,10,Development,Pooled,3208,1168,0.7194802578565673,0.6162196705303924,0.19908208881168826,0.6828564822957265,0.755604712939185,0.0026255662593425992,1.0045661815528426
M2-Base.1 (+ B),A+B,10,Temporal,0M,201,82,0.6851813896290223,0.6664860238348682,0.20824599727901383,0.6058888381269469,0.7634059488898198,0.010211670004689455,0.935012576892299
M2-Base.1 (+ B),A+B,10,Temporal,1M,201,82,0.6851813896290223,0.6664860238348682,0.20824599727901383,0.6058888381269469,0.7634059488898198,0.010211670004689455,0.935012576892299
M2-Base.1 (+ B),A+B,10,Temporal,3M,201,82,0.6851813896290223,0.6664860238348682,0.20824599727901383,0.6058888381269469,0.7634059488898198,0.010211670004689455,0.935012576892299
M2-Base.1 (+ B),A+B,10,Temporal,6M,201,82,0.6851813896290223,0.6664860238348682,0.20824599727901383,0.6058888381269469,0.7634059488898198,0.010211670004689455,0.935012576892299
M2-Base.1 (+ B),A+B,10,Temporal,Pooled,804,328,0.6851813896290223,0.6664860238348682,0.20824599727901383,0.6058888381269469,0.7634059488898198,0.023582098463609168,0.9643293857689557
M2-Base.2 (+ C),A+B+C,12,Development,0M,802,292,0.7154378189632017,0.6137057626394726,0.199362915761485,0.6782961254226861,0.7520945775519289,-0.0034595361230284937,0.993913060915803
M2-Base.2 (+ C),A+B+C,12,Development,1M,802,292,0.7312113886650551,0.6248405063649185,0.19619273305952578,0.6969118503417,0.7674187144533922,-0.0029118794842520083,0.99496055074538
M2-Base.2 (+ C),A+B+C,12,Development,3M,802,292,0.7807547676604889,0.6691698838277818,0.1823242996447777,0.7499204269195388,0.8145399789049699,-0.0012291738175882769,0.9976776013257154
M2-Base.2 (+ C),A+B+C,12,Development,6M,802,292,0.7174120333064733,0.6114011697228874,0.19992008414366894,0.6812781314849832,0.7530790968962428,-0.003447553142916587,0.9940010220192937
M2-Base.2 (+ C),A+B+C,12,Development,Pooled,3208,1168,0.7377585280687617,0.629628853074611,0.19445000815236432,0.705597479010977,0.7716061958295857,0.0026585179866606594,1.0047183175844265
M2-Base.2 (+ C),A+B+C,12,Temporal,0M,201,82,0.6804673088747694,0.6683055405334423,0.20834453069987793,0.5994851392844223,0.7586706483898641,0.008206680589200306,0.9307645801634976
M2-Base.2 (+ C),A+B+C,12,Temporal,1M,201,82,0.7067021930723508,0.6753406339926187,0.20450866039607044,0.6323413829356032,0.7811112274821952,0.042100223347410516,0.9651243094611156
M2-Base.2 (+ C),A+B+C,12,Temporal,3M,201,82,0.7322197171551548,0.7011351905925276,0.19929367824963384,0.662194696929381,0.8042353297035693,-0.03487099454266276,0.8175190596266649
M2-Base.2 (+ C),A+B+C,12,Temporal,6M,201,82,0.6871285099405616,0.6677272490131394,0.20807474153992506,0.6071817942556987,0.7643520048247119,0.0319483449868103,0.9656389034929366
M2-Base.2 (+ C),A+B+C,12,Temporal,Pooled,804,328,0.7037622976019676,0.6769397988402336,0.20505540272137684,0.6313879479455453,0.7763643914844318,0.016028687404878544,0.9323815279494252
M2-Base.3 (+ D),A+B+C+D,14,Development,0M,802,292,0.7162771958098308,0.6143959623371089,0.19925634544813434,0.6792362595478542,0.7527210634597294,-0.0033116730525475386,0.9941883162944222
