Landmark,Split,Tier,N,Events,EventRate,NPV_if_low,PPV_if_high
0M,Dev OOF,Low,267,53,0.19850187265917604,0.8014981273408239,
0M,Dev OOF,Mid,268,87,0.3246268656716418,,
0M,Dev OOF,High,267,152,0.5692883895131086,,0.5692883895131086
0M,Temporal,Low,60,18,0.3,0.7,
0M,Temporal,Mid,56,16,0.2857142857142857,,
0M,Temporal,High,85,48,0.5647058823529412,,0.5647058823529412
1M,Dev OOF,Low,267,46,0.17228464419475656,0.8277153558052435,
1M,Dev OOF,Mid,268,84,0.31343283582089554,,
1M,Dev OOF,High,267,162,0.6067415730337079,,0.6067415730337079
1M,Temporal,Low,65,15,0.23076923076923078,0.7692307692307692,
1M,Temporal,Mid,58,20,0.3448275862068966,,
1M,Temporal,High,78,47,0.6025641025641025,,0.6025641025641025
3M,Dev OOF,Low,267,26,0.09737827715355805,0.9026217228464419,
3M,Dev OOF,Mid,268,81,0.30223880597014924,,
3M,Dev OOF,High,267,185,0.6928838951310862,,0.6928838951310862
3M,Temporal,Low,59,10,0.1694915254237288,0.8305084745762712,
3M,Temporal,Mid,65,18,0.27692307692307694,,
3M,Temporal,High,77,54,0.7012987012987013,,0.7012987012987013
6M,Dev OOF,Low,267,30,0.11235955056179775,0.8876404494382022,
6M,Dev OOF,Mid,268,74,0.27611940298507465,,
6M,Dev OOF,High,267,188,0.704119850187266,,0.704119850187266
6M,Temporal,Low,55,8,0.14545454545454545,0.8545454545454545,
6M,Temporal,Mid,68,20,0.29411764705882354,,
6M,Temporal,High,78,54,0.6923076923076923,,0.6923076923076923
