Feature,PrettyLabel,Block,Coefficient,SE,OR,CI_Low,CI_High,p_value,Method
Sex,Sex,A,-0.1274131050102322,0.08327158803233126,0.880369912245112,0.7477957367187462,1.036447714702566,0.1259942127827287,L2 + 200 episode-cluster bootstrap
ThyroidW,Thyroid weight,A,0.7804539232290956,0.1513458830142076,2.18246271120929,1.6222531114819034,2.9361284327992103,2.5126370095662764e-07,L2 + 200 episode-cluster bootstrap
TRAb,TSH receptor antibody,A,0.1116731695616252,0.10132300482644047,1.1181473563286943,0.9167505061676123,1.3637881867024135,0.27039638019499423,L2 + 200 episode-cluster bootstrap
TGAb,Thyroglobulin antibody,A,-0.03116785642702998,0.09653329447850233,0.9693128540273377,0.8022194231346588,1.171209998021837,0.7467925073664476,L2 + 200 episode-cluster bootstrap
TPOAb,Thyroid peroxidase antibody,A,-0.10507056350871102,0.08797296002882705,0.9002609947703725,0.7576774094200429,1.06967668380836,0.23234082576330417,L2 + 200 episode-cluster bootstrap
FT4_0M,FT4 at baseline,A,0.013208995698354847,0.09566025166325724,1.0132966198660665,0.8400573652085455,1.222261814914388,0.8901753071523673,L2 + 200 episode-cluster bootstrap
TSH_0M,TSH at baseline,A,0.11446719128826646,0.5358491720206058,1.1212758528442492,0.39227302633798256,3.2050624278416304,0.8308447243949209,L2 + 200 episode-cluster bootstrap
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),A,0.19691739841705924,0.0881468163971818,1.2176434572747619,1.0244436023988888,1.4472788795519576,0.02548500600961856,L2 + 200 episode-cluster bootstrap
Uptake24h,24-hour RAI uptake,B,0.0958023003562135,0.3828467214137568,1.100541465829381,0.5196616908705771,2.3307308183152813,0.8024043049939347,L2 + 200 episode-cluster bootstrap
HalfLife,Effective iodine half-life,B,-0.09338349601281501,0.09691096063378503,0.9108441282175554,0.7532719365538167,1.1013778499487827,0.33524601856104175,L2 + 200 episode-cluster bootstrap
TSH_current,TSH at current landmark,C,-0.4057387786410813,0.20118052180590676,0.6664842446076317,0.44930532941495355,0.9886400610662813,0.04371747755695332,L2 + 200 episode-cluster bootstrap
FT4_current,FT4 at current landmark,C,0.6815477255822715,0.08962292854101096,1.9769351186801891,1.65845556313925,2.356573519566108,2.864375403532904e-14,L2 + 200 episode-cluster bootstrap
TSH_velocity,TSH velocity (per month),D,0.0867608495867799,0.16392271297829245,1.0906358225198394,0.790944349858475,1.503881401487176,0.5966119211914254,L2 + 200 episode-cluster bootstrap
FT4_velocity,FT4 velocity (per month),D,-0.11571078791027742,0.04592949491772919,0.8907327967425305,0.8140507260153642,0.974638176513088,0.011758397601397297,L2 + 200 episode-cluster bootstrap
landmark_time_centered,Landmark time (centered at 1.5M),E,0.07331385380534013,0.050828466190110846,1.076068212024772,0.974033151055756,1.1887919786663474,0.14919580886977712,L2 + 200 episode-cluster bootstrap
is_baseline_landmark,Is baseline landmark (0M),E,0.08271485958108625,0.017288623218909602,1.086232035728256,1.0500409443960068,1.1236705023164983,1.7153981302087118e-06,L2 + 200 episode-cluster bootstrap
velocity_observed,Velocity observed (L ≥ 1M),E,-0.08271485958108625,0.017288623218909602,0.9206136139499491,0.8899405990799385,0.9523438160549151,1.7153981302087118e-06,L2 + 200 episode-cluster bootstrap
lm_x_TSH_current,Landmark × TSH_current,E,-0.42009986333412347,0.2054260754546017,0.6569812082051064,0.4392287323328763,0.982686869418024,0.04085315968221814,L2 + 200 episode-cluster bootstrap
lm_x_FT4_current,Landmark × FT4_current,E,0.5708887734706863,0.07479820232082081,1.7698393388783245,1.528496078750052,2.049289709662043,2.3092638912203256e-14,L2 + 200 episode-cluster bootstrap
lm_x_TSH_velocity,Landmark × TSH_velocity,E,0.34398843062892137,0.13696272749082092,1.4105623160944114,1.0784679667607053,1.8449190044669264,0.012020302142403683,L2 + 200 episode-cluster bootstrap
lm_x_FT4_velocity,Landmark × FT4_velocity,E,-0.48413104548221686,0.07388245009526641,0.6162324421432654,0.5331563023228988,0.7122534631877374,5.649813950014959e-11,L2 + 200 episode-cluster bootstrap
