split,Landmark,thr,TP,FP,TN,FN,Sens,Spec,PPV,NPV
Dev(OOF),0M,0.37,164,124,386,128,0.5616438356164384,0.7568627450980392,0.5694444444444444,0.7509727626459144
Dev(OOF),1M,0.37,166,111,399,126,0.5684931506849316,0.7823529411764706,0.5992779783393501,0.76
Dev(OOF),3M,0.37,208,105,405,84,0.7123287671232876,0.7941176470588235,0.6645367412140575,0.8282208588957055
Dev(OOF),6M,0.37,208,98,412,84,0.7123287671232876,0.807843137254902,0.6797385620915033,0.8306451612903226
Dev(OOF),Pooled,0.37,746,438,1602,422,0.6386986301369864,0.7852941176470588,0.6300675675675675,0.791501976284585
Temporal,0M,0.37,49,37,82,33,0.5975609756097561,0.6890756302521008,0.5697674418604651,0.7130434782608696
Temporal,1M,0.37,49,35,84,33,0.5975609756097561,0.7058823529411765,0.5833333333333334,0.717948717948718
Temporal,3M,0.37,54,41,78,28,0.6585365853658537,0.6554621848739496,0.5684210526315789,0.7358490566037735
Temporal,6M,0.37,53,34,85,29,0.6463414634146342,0.7142857142857143,0.6091954022988506,0.7456140350877193
Temporal,Pooled,0.37,205,147,329,123,0.625,0.6911764705882353,0.5823863636363636,0.7278761061946902
