feature,hard_FN_mean,hard_FP_mean,correct_mean
TSH at current landmark,32.907075000000006,1.8791750000000007,8.767525092936802
FT4 at current landmark,5.3539,19.2795,11.966366171003717
TSH velocity (per month),-14.411950000000001,-1.3012416666666669,1.205851920693928
FT4 velocity (per month),-3.519775,-3.94685,-4.27988073110285
TSH receptor antibody,12.630410125589913,27.47330428678322,17.629766881066033
Thyroglobulin antibody,309.96844523577045,729.8434477427863,372.8047186737538
Thyroid peroxidase antibody,540.6554184454133,630.6347436272357,521.6468770058142
TSH at baseline,67.5044,1.6214000000000002,0.05423698884758365
FT4 at baseline,27.1966,33.889849999999996,27.596427628523745
Thyroid weight,23.19978473777598,91.085,33.10996530288765
Log disease duration (months),2.2297980819052716,4.030980714955841,2.6127937567580983
24-hour RAI uptake,0.67995,0.63285,0.8688556729475745
Effective iodine half-life,5.514175648609239,4.9518015772809525,5.504655587348319
