method,ROC_AUC,AUC_CI_low,AUC_CI_high,PR_AUC,Brier,fit_sec
RandomForest,0.861,0.8078,0.9082,0.8278,0.1475,2.2499
EBM,0.8562,0.8015,0.9051,0.8269,0.1475,3.9342
ExtraTrees,0.8475,0.7904,0.8971,0.8102,0.1566,1.2292
L2-Logistic,0.8474,0.7937,0.9002,0.8288,0.1511,0.0144
SVM-RBF,0.8431,0.7847,0.894,0.8071,0.1579,0.1253
GradientBoosting,0.8403,0.7847,0.89,0.7898,0.1686,2.9565
HistGB,0.8387,0.7836,0.8876,0.7832,0.1831,1.4763
AdaBoost,0.8381,0.7801,0.8882,0.7716,0.1956,0.8574
DecisionTree,0.8371,0.7772,0.8856,0.7601,0.1745,0.0114
LDA,0.83,0.7687,0.8853,0.8111,0.1607,0.0138
