split,Landmark,cut,thr,TP,FP,TN,FN,N,FN_rate,FP_rate,Sens,Spec,PPV,NPV,Acc
Dev(OOF),1M,Youden@OOF,0.415,172,102,408,120,802,0.411,0.2,0.589,0.8,0.6277,0.7727,0.7232
Dev(OOF),1M,0.5,0.5,116,63,447,176,802,0.6027,0.1235,0.3973,0.8765,0.648,0.7175,0.702
Dev(OOF),3M,Youden@OOF,0.33,232,124,386,60,802,0.2055,0.2431,0.7945,0.7569,0.6517,0.8655,0.7706
Dev(OOF),3M,0.5,0.5,175,69,441,117,802,0.4007,0.1353,0.5993,0.8647,0.7172,0.7903,0.7681
Dev(OOF),6M,Youden@OOF,0.37,233,67,443,59,802,0.2021,0.1314,0.7979,0.8686,0.7767,0.8825,0.8429
Dev(OOF),6M,0.5,0.5,216,49,461,76,802,0.2603,0.0961,0.7397,0.9039,0.8151,0.8585,0.8441
Dev(OOF),12M,Youden@OOF,0.3,256,69,441,36,802,0.1233,0.1353,0.8767,0.8647,0.7877,0.9245,0.8691
Dev(OOF),12M,0.5,0.5,232,42,468,60,802,0.2055,0.0824,0.7945,0.9176,0.8467,0.8864,0.8728
Temporal,1M,Youden@OOF,0.415,44,32,87,38,201,0.4634,0.2689,0.5366,0.7311,0.5789,0.696,0.6517
Temporal,1M,0.5,0.5,39,21,98,43,201,0.5244,0.1765,0.4756,0.8235,0.65,0.695,0.6816
Temporal,3M,Youden@OOF,0.33,63,39,80,19,201,0.2317,0.3277,0.7683,0.6723,0.6176,0.8081,0.7114
Temporal,3M,0.5,0.5,51,22,97,31,201,0.378,0.1849,0.622,0.8151,0.6986,0.7578,0.7363
Temporal,6M,Youden@OOF,0.37,64,17,102,18,201,0.2195,0.1429,0.7805,0.8571,0.7901,0.85,0.8259
Temporal,6M,0.5,0.5,60,10,109,22,201,0.2683,0.084,0.7317,0.916,0.8571,0.8321,0.8408
Temporal,12M,Youden@OOF,0.3,66,18,101,16,201,0.1951,0.1513,0.8049,0.8487,0.7857,0.8632,0.8308
Temporal,12M,0.5,0.5,57,10,109,25,201,0.3049,0.084,0.6951,0.916,0.8507,0.8134,0.8259
