Landmark,state,n,relapse_rate,FN,FP,TP,TN,FN_rate(missed/relapse),FP_rate(alarm/nonrelapse)
1M,Hyper,471,0.45,72,79,140,180,0.34,0.305
1M,Normal,305,0.246,44,23,31,207,0.587,0.1
1M,Hypo,26,0.192,4,0,1,21,0.8,0.0
3M,Hyper,260,0.742,10,51,183,16,0.052,0.761
3M,Normal,310,0.216,27,59,40,184,0.403,0.243
3M,Hypo,230,0.135,23,14,8,185,0.742,0.07
3M,Unknown,2,0.5,0,0,1,1,0.0,0.0
6M,Hyper,137,0.934,2,9,126,0,0.016,1.0
6M,Normal,351,0.254,41,30,48,232,0.461,0.115
6M,Hypo,139,0.101,9,4,5,121,0.643,0.032
6M,Unknown,175,0.349,7,24,54,90,0.115,0.211
12M,Hyper,71,0.944,1,4,66,0,0.015,1.0
12M,Normal,366,0.221,21,34,60,251,0.259,0.119
12M,Hypo,87,0.184,4,5,12,66,0.25,0.07
12M,Unknown,278,0.46,10,26,118,124,0.078,0.173
