Landmark,feature,FN_mean,FP_mean,TP_mean,TN_mean,FN_vs_TP_d,FP_vs_TN_d,n_FN,n_FP,n_TP,n_TN
1M,当期TSH,0.329,0.017,0.094,1.038,0.052,-0.224,120,102,172,408
1M,当期FT3,8.173,13.63,16.162,7.362,-1.005,0.788,120,102,172,408
1M,当期FT4,19.0,26.934,31.353,17.238,-1.03,0.809,120,102,172,408
1M,TSH动量,-5.336,-0.641,0.079,0.975,-0.222,-0.066,120,102,172,408
1M,FT3动量,-8.309,-6.873,-6.009,-9.879,-0.223,0.292,120,102,172,408
1M,FT4动量,-9.002,-4.658,-1.908,-10.956,-0.481,0.427,120,102,172,408
1M,TRAb,14.273,21.427,25.11,15.362,-0.843,0.472,120,102,172,408
1M,TGAb,306.491,417.672,470.137,324.577,-0.234,0.133,120,102,172,408
1M,TPOAb,428.079,573.641,585.309,467.618,-0.391,0.264,120,102,172,408
1M,基线TSH,5.655,0.658,0.015,0.062,0.236,0.025,120,102,172,408
1M,基线FT4,28.102,31.592,33.261,28.24,-0.382,0.248,120,102,172,408
1M,甲状腺重量,25.357,47.199,60.591,21.778,-1.425,1.028,120,102,172,408
1M,病程(log),2.763,3.518,3.786,2.594,-0.633,0.572,120,102,172,408
1M,24h摄取率,1.073,0.665,1.652,1.007,-0.104,-0.061,120,102,172,408
1M,有效半衰期,5.388,5.19,5.229,5.465,0.102,-0.175,120,102,172,408
1M,性别,0.225,0.333,0.209,0.203,0.038,0.311,120,102,172,408
3M,当期TSH,16.36,1.567,0.665,24.912,0.604,-0.899,60,124,232,386
3M,当期FT3,4.359,9.606,13.074,3.742,-1.243,0.836,60,124,232,386
3M,当期FT4,10.875,20.459,24.914,9.689,-1.275,0.978,60,124,232,386
3M,TSH动量,7.619,0.294,0.229,10.969,0.588,-0.849,60,124,232,386
3M,FT3动量,-1.629,-1.127,-0.219,-1.441,-0.414,0.092,60,124,232,386
3M,FT4动量,-3.492,-1.978,-1.471,-3.353,-0.37,0.252,60,124,232,386
3M,TRAb,17.058,18.816,21.587,15.856,-0.352,0.23,60,124,232,386
3M,TGAb,302.031,325.945,428.968,348.737,-0.182,-0.033,60,124,232,386
3M,TPOAb,525.184,499.66,519.532,485.342,0.014,0.036,60,124,232,386
3M,基线TSH,11.255,0.553,0.025,0.062,0.469,0.021,60,124,232,386
3M,基线FT4,29.225,31.226,31.636,28.166,-0.179,0.227,60,124,232,386
3M,甲状腺重量,28.14,38.187,50.759,23.224,-0.915,0.605,60,124,232,386
3M,病程(log),2.893,3.131,3.488,2.665,-0.368,0.288,60,124,232,386
3M,24h摄取率,1.999,0.676,1.263,1.023,0.132,-0.062,60,124,232,386
3M,有效半衰期,5.278,5.401,5.299,5.413,-0.013,-0.007,60,124,232,386
3M,性别,0.2,0.226,0.22,0.231,-0.048,-0.011,60,124,232,386
6M,当期TSH,8.289,5.478,0.71,13.614,0.248,-0.267,59,67,233,443
6M,当期FT3,4.678,9.571,11.976,4.234,-1.232,0.901,59,67,233,443
6M,当期FT4,12.338,19.906,22.722,12.051,-1.236,0.935,59,67,233,443
6M,TSH动量,-1.262,0.67,-0.371,-3.114,-0.073,0.308,59,67,233,443
6M,FT3动量,-0.343,-0.428,-0.072,0.121,-0.165,-0.334,59,67,233,443
6M,FT4动量,-0.382,-0.808,-0.151,0.691,-0.08,-0.519,59,67,233,443
6M,TRAb,17.596,18.207,21.432,16.329,-0.298,0.146,59,67,233,443
6M,TGAb,270.737,346.415,436.347,342.709,-0.237,0.005,59,67,233,443
6M,TPOAb,573.68,489.95,507.277,488.652,0.165,0.003,59,67,233,443
6M,基线TSH,0.042,0.01,2.913,0.207,-0.12,-0.008,59,67,233,443
6M,基线FT4,27.833,35.194,31.979,27.96,-0.307,0.536,59,67,233,443
6M,甲状腺重量,36.415,34.651,48.567,25.684,-0.491,0.363,59,67,233,443
6M,病程(log),3.074,3.248,3.44,2.708,-0.226,0.334,59,67,233,443
6M,24h摄取率,0.901,1.649,1.544,0.831,-0.116,0.147,59,67,233,443
6M,有效半衰期,5.491,5.394,5.245,5.412,0.157,-0.012,59,67,233,443
6M,性别,0.102,0.164,0.245,0.239,-0.343,-0.18,59,67,233,443
12M,当期TSH,3.157,2.272,0.955,7.115,0.164,-0.361,36,69,256,441
12M,当期FT3,4.693,7.668,11.308,4.179,-1.152,0.608,36,69,256,441
12M,当期FT4,12.134,17.044,21.917,12.448,-1.24,0.582,36,69,256,441
12M,TSH动量,-0.734,0.041,-0.093,-1.109,-0.132,0.237,36,69,256,441
12M,FT3动量,0.0,-0.157,0.049,0.01,-0.093,-0.314,36,69,256,441
12M,FT4动量,0.1,-0.173,0.068,0.075,0.038,-0.301,36,69,256,441
12M,TRAb,15.904,17.989,21.325,16.354,-0.422,0.127,36,69,256,441
12M,TGAb,247.036,321.565,424.801,346.58,-0.254,-0.036,36,69,256,441
12M,TPOAb,489.98,479.982,525.013,490.206,-0.087,-0.025,36,69,256,441
12M,基线TSH,0.057,0.962,2.653,0.059,-0.108,0.038,36,69,256,441
12M,基线FT4,28.528,32.889,31.508,28.288,-0.221,0.341,36,69,256,441
12M,甲状腺重量,28.694,37.484,48.561,25.2,-0.804,0.497,36,69,256,441
12M,病程(log),3.216,3.264,3.387,2.703,-0.105,0.347,36,69,256,441
12M,24h摄取率,0.658,0.692,1.52,0.977,-0.155,-0.051,36,69,256,441
12M,有效半衰期,5.485,5.439,5.268,5.406,0.138,0.021,36,69,256,441
12M,性别,0.167,0.145,0.223,0.243,-0.134,-0.234,36,69,256,441
