method,landmark,ROC_AUC,CI_lo,CI_hi,PR_AUC,Brier,calib_slope,fit_s
Naive(prevalence),0M,0.5,0.5,0.5,0.408,0.2435,,0.0
L2-Logistic,0M,0.6931,0.6131,0.769,0.6721,0.2107,0.7219,0.002
Elastic-net,0M,0.6932,0.6132,0.7693,0.6723,0.2106,0.7255,0.005
GaussianNB,0M,0.641,0.5558,0.7186,0.6309,0.3243,0.213,0.0
kNN(15),0M,0.6378,0.551,0.7225,0.5586,0.2308,0.6003,0.004
SVM-RBF,0M,0.679,0.5977,0.7569,0.6349,0.2182,0.7746,0.032
RandomForest,0M,0.6773,0.5937,0.7546,0.6007,0.2207,0.6861,0.306
ExtraTrees,0M,0.6606,0.5766,0.7414,0.595,0.224,0.6839,0.194
HistGBM,0M,0.6368,0.5523,0.7197,0.581,0.2635,0.2368,0.057
XGBoost,0M,0.6495,0.5691,0.7319,0.5856,0.2398,0.4058,0.036
LightGBM,0M,0.6358,0.5528,0.7184,0.556,0.2444,0.3547,0.02
EBM,0M,0.6713,0.582,0.7534,0.6398,0.2203,0.6469,2.541
Naive(prevalence),1M,0.5,0.5,0.5,0.408,0.2435,,0.0
L2-Logistic,1M,0.7292,0.6572,0.8001,0.6875,0.2024,0.7703,0.001
Elastic-net,1M,0.7294,0.6565,0.8002,0.6879,0.2023,0.7766,0.006
GaussianNB,1M,0.6863,0.6114,0.7597,0.6598,0.3004,0.1622,0.0
kNN(15),1M,0.6862,0.6062,0.7616,0.6052,0.2178,0.7403,0.0
SVM-RBF,1M,0.6894,0.6115,0.7701,0.6444,0.2123,0.8223,0.027
RandomForest,1M,0.704,0.6217,0.7743,0.6124,0.2135,0.7339,0.345
ExtraTrees,1M,0.7071,0.627,0.781,0.6171,0.2119,0.8554,0.214
HistGBM,1M,0.6583,0.5743,0.7337,0.5802,0.2664,0.2584,0.061
XGBoost,1M,0.6821,0.5992,0.7595,0.6471,0.2303,0.4758,0.041
LightGBM,1M,0.6573,0.5751,0.7357,0.6046,0.2426,0.396,0.022
EBM,1M,0.7091,0.6351,0.7824,0.6259,0.2134,0.6995,0.795
Naive(prevalence),3M,0.5,0.5,0.5,0.408,0.2435,,0.0
L2-Logistic,3M,0.8123,0.7533,0.8717,0.7607,0.1712,0.7736,0.001
Elastic-net,3M,0.8113,0.7519,0.8708,0.7601,0.1718,0.7715,0.013
GaussianNB,3M,0.7659,0.7009,0.8329,0.7068,0.2434,0.1374,0.001
kNN(15),3M,0.7424,0.671,0.8087,0.6339,0.2061,0.4152,0.0
SVM-RBF,3M,0.7704,0.7048,0.837,0.6683,0.1903,0.7338,0.028
RandomForest,3M,0.7853,0.7207,0.8452,0.6882,0.1858,0.7692,0.315
ExtraTrees,3M,0.773,0.7077,0.8386,0.7054,0.1894,0.7804,0.208
HistGBM,3M,0.7463,0.6817,0.8099,0.6508,0.2382,0.2905,0.062
XGBoost,3M,0.7785,0.7132,0.8408,0.6881,0.1968,0.536,0.04
LightGBM,3M,0.7708,0.7071,0.8336,0.681,0.2006,0.5002,0.022
EBM,3M,0.8035,0.7425,0.8618,0.7214,0.1763,0.7641,0.898
Naive(prevalence),6M,0.5,0.5,0.5,0.408,0.2435,,0.0
L2-Logistic,6M,0.808,0.7483,0.8677,0.7654,0.173,0.7426,0.001
Elastic-net,6M,0.8076,0.7477,0.8677,0.7652,0.1733,0.7449,0.005
GaussianNB,6M,0.7796,0.7158,0.8432,0.7295,0.282,0.1541,0.001
kNN(15),6M,0.7388,0.6671,0.8054,0.6506,0.2071,0.2808,0.0
SVM-RBF,6M,0.7973,0.737,0.8593,0.7078,0.1805,0.8217,0.025
RandomForest,6M,0.8025,0.7393,0.8593,0.7373,0.1762,0.8336,0.292
ExtraTrees,6M,0.7962,0.7351,0.8544,0.7278,0.1791,0.8581,0.195
HistGBM,6M,0.7674,0.7007,0.8293,0.6822,0.2247,0.3226,0.062
XGBoost,6M,0.7871,0.7243,0.8477,0.6953,0.1923,0.552,0.034
LightGBM,6M,0.7767,0.7116,0.8386,0.7037,0.1967,0.5293,0.021
EBM,6M,0.8171,0.7557,0.8733,0.7467,0.1708,0.8303,0.82
