max_interaction_bins,landmark,temporal_AUC,n_interactions,mean_occ%,mean_support,n_真2D,n_对冲伪,n_外推
8,1M,0.6975,5,96.12,0.92,4,1,0
8,3M,0.782,5,100.0,1.0,5,0,0
8,6M,0.8758,5,95.54,0.924,5,0,0
8,12M,0.9052,5,98.88,0.986,5,0,0
16,1M,0.698,5,85.1,0.814,4,1,0
16,3M,0.7924,5,90.74,0.851,4,1,0
16,6M,0.8809,5,88.26,0.831,5,0,0
16,12M,0.9106,5,86.52,0.803,5,0,0
24,1M,0.6918,5,64.82,0.657,4,0,1
24,3M,0.7898,5,78.56,0.784,5,0,0
24,6M,0.8761,5,68.62,0.671,3,2,0
24,12M,0.9088,5,63.82,0.553,1,4,0
32,1M,0.6989,5,43.9,0.444,0,4,1
32,3M,0.7836,5,58.92,0.579,2,3,0
32,6M,0.8816,5,48.64,0.467,0,5,0
32,12M,0.9084,5,43.76,0.384,0,3,2
