max_interaction_bins,landmark,term,importance,corr_AB,same_group,occupancy_pct,support_energy,frac_var_residual,svd_r1_frac,sign_consistency,verdict
8,1M,TPOAb & Velocity_load,0.1191,-0.056,False,100.0,1.0,0.678,0.965,0.583,真2D
8,1M,TGAb & FT4_0M,0.0847,-0.06,False,100.0,1.0,0.619,0.94,0.583,真2D
8,1M,ThyroidW & HalfLife,0.0765,-0.036,False,100.0,1.0,0.644,0.936,0.833,真2D
8,1M,ThyroidW & TSH_current,0.0713,-0.065,False,100.0,1.0,0.625,0.926,0.8,真2D
8,1M,FT4_0M & TSH_0M,0.0586,-0.086,True,80.6,0.599,0.182,0.998,0.571,对冲伪
8,3M,TRAb & HalfLife,0.1088,-0.182,False,100.0,1.0,0.586,0.872,0.75,真2D
8,3M,FT4_0M & Hormone_load,0.0961,0.144,False,100.0,1.0,0.718,0.955,0.667,真2D
8,3M,ThyroidW & TPOAb,0.0879,0.243,False,100.0,1.0,0.667,0.519,0.75,真2D
8,3M,ThyroidW & HalfLife,0.0745,-0.036,False,100.0,1.0,0.633,0.976,0.944,真2D
8,3M,Uptake24h & Hormone_load,0.0615,-0.021,False,100.0,1.0,0.633,0.869,0.694,真2D
8,6M,Hormone_load & Velocity_load,0.1855,0.255,False,94.4,0.886,0.418,0.802,0.824,真2D
8,6M,TPOAb & T3T4_balance,0.1846,0.031,False,100.0,1.0,0.937,0.929,0.639,真2D
8,6M,TSH_current & TSH_velocity,0.1139,0.703,False,88.9,0.947,0.787,0.846,0.815,真2D
8,6M,Hormone_load & T3T4_balance,0.098,-0.0,False,94.4,0.785,0.39,0.967,0.621,真2D
8,6M,Hormone_load & Velocity_balance,0.0815,0.152,False,100.0,1.0,0.693,0.738,0.714,真2D
8,12M,TSH_current & Hormone_load,0.2923,-0.225,True,100.0,1.0,0.871,0.671,0.828,真2D
8,12M,ThyroidW & T3T4_balance,0.2392,0.059,False,100.0,1.0,0.706,0.653,0.639,真2D
8,12M,Hormone_load & T3T4_balance,0.228,-0.0,False,94.4,0.929,0.599,0.869,0.733,真2D
8,12M,T3T4_balance & Velocity_load,0.1993,0.009,False,100.0,1.0,0.374,0.867,0.714,真2D
8,12M,T3T4_balance & Velocity_balance,0.1628,0.337,False,100.0,1.0,0.621,0.976,0.636,真2D
16,1M,TPOAb & Velocity_load,0.1029,-0.056,False,94.9,0.961,0.706,0.956,0.593,真2D
16,1M,TGAb & FT4_0M,0.0595,-0.06,False,94.4,0.964,0.611,0.969,0.575,真2D
16,1M,ThyroidW & HalfLife,0.0481,-0.036,False,95.9,0.984,0.575,0.868,0.747,真2D
16,1M,ThyroidW & T3T4_balance,0.0457,-0.04,False,98.0,0.948,0.494,0.728,0.787,真2D
16,1M,FT4_0M & TSH_0M,0.0269,-0.086,True,42.3,0.214,0.133,0.998,0.688,对冲伪
16,3M,ThyroidW & TPOAb,0.1105,0.243,False,93.9,0.918,0.557,0.454,0.68,真2D
16,3M,Hormone_load & T3T4_balance,0.099,0.0,False,67.9,0.455,0.349,0.625,0.81,对冲伪
16,3M,Uptake24h & Hormone_load,0.0871,-0.021,False,98.0,0.972,0.678,0.947,0.687,真2D
16,3M,TRAb & HalfLife,0.0817,-0.182,False,98.0,0.929,0.547,0.936,0.6,真2D
16,3M,ThyroidW & HalfLife,0.0706,-0.036,False,95.9,0.983,0.658,0.917,0.734,真2D
16,6M,Hormone_load & Velocity_load,0.224,0.255,False,81.6,0.696,0.386,0.804,0.725,真2D
16,6M,TPOAb & T3T4_balance,0.2184,0.031,False,94.9,0.967,0.733,0.706,0.686,真2D
16,6M,Hormone_load & T3T4_balance,0.1521,-0.0,False,78.1,0.745,0.54,0.719,0.514,真2D
16,6M,TSH_current & Velocity_load,0.1466,-0.078,False,86.7,0.745,0.557,0.715,0.843,真2D
16,6M,Uptake24h & Hormone_load,0.1426,-0.025,False,100.0,1.0,0.581,0.853,0.74,真2D
16,12M,TSH_current & Hormone_load,0.3416,-0.225,True,78.1,0.651,0.568,0.912,0.875,真2D
16,12M,ThyroidW & T3T4_balance,0.2209,0.059,False,97.4,0.962,0.683,0.76,0.654,真2D
16,12M,Hormone_load & Velocity_balance,0.214,0.01,False,86.7,0.826,0.77,0.822,0.775,真2D
16,12M,T3T4_balance & Velocity_load,0.193,0.009,False,86.7,0.839,0.545,0.773,0.5,真2D
16,12M,T3T4_balance & Velocity_balance,0.1069,0.337,False,83.7,0.738,0.489,0.986,0.578,真2D
24,1M,TPOAb & Velocity_load,0.1131,-0.056,False,70.9,0.739,0.747,0.923,0.519,真2D
24,1M,ThyroidW & TSH_velocity,0.098,0.002,False,39.6,0.37,0.656,0.924,0.727,外推不可信
24,1M,HalfLife & T3T4_balance,0.0911,-0.024,False,77.9,0.788,0.852,0.734,0.786,真2D
24,1M,TGAb & FT4_0M,0.0692,-0.06,False,68.6,0.685,0.58,0.887,0.5,真2D
