method,vs,landmark,dAUC_mean,dAUC_CI_low,dAUC_CI_high,CI_excludes_0,direction
locf,median,0M,0.0,0.0,0.0,False,tie
locf,median,1M,-0.0097,-0.0285,0.0089,False,worse
locf,median,3M,-0.0074,-0.0345,0.0185,False,worse
locf,median,6M,0.0229,-0.0038,0.05,False,better
locf,median,12M,0.1054,0.0591,0.1539,True,better
missforest,median,0M,0.0015,-0.0058,0.0089,False,better
missforest,median,1M,-0.007,-0.0295,0.0156,False,worse
missforest,median,3M,-0.0032,-0.0196,0.0133,False,worse
missforest,median,6M,0.0008,-0.0268,0.0306,False,better
missforest,median,12M,-0.0126,-0.0445,0.0173,False,worse
knn,median,0M,0.0007,-0.0027,0.0042,False,better
knn,median,1M,-0.005,-0.0236,0.012,False,worse
knn,median,3M,0.0024,-0.0202,0.0244,False,better
knn,median,6M,-0.0199,-0.0471,0.0061,False,worse
knn,median,12M,-0.0214,-0.0598,0.0165,False,worse
ebm_native,median,0M,-0.0003,-0.015,0.0153,False,worse
ebm_native,median,1M,0.0024,-0.0175,0.0226,False,better
ebm_native,median,3M,0.0027,-0.0051,0.0105,False,better
ebm_native,median,6M,-0.0019,-0.0149,0.0097,False,worse
ebm_native,median,12M,-0.0017,-0.0204,0.0164,False,worse
median_indicator,median,0M,0.0013,-0.0081,0.0109,False,better
median_indicator,median,1M,0.0029,-0.002,0.008,False,better
median_indicator,median,3M,-0.0019,-0.0073,0.0027,False,worse
median_indicator,median,6M,-0.0,-0.0013,0.0015,False,worse
median_indicator,median,12M,-0.0035,-0.0141,0.0063,False,worse
