method,landmark,n_truth_present,OOF_AUC,Temporal_AUC,Temporal_AUC_CI_low,Temporal_AUC_CI_high,Temporal_Brier,nlive
median,0M,1000,0.7117,0.672,0.5856,0.7555,0.2177,13
median,1M,895,0.7369,0.7036,0.6287,0.7768,0.2152,16
median,3M,830,0.8318,0.799,0.7367,0.8567,0.1771,16
median,6M,746,0.8733,0.8545,0.7998,0.9017,0.1499,16
median,12M,605,0.865,0.8033,0.734,0.8582,0.1761,16
locf,0M,1000,0.7117,0.672,0.5856,0.7555,0.2177,13
locf,1M,895,0.7385,0.6939,0.6206,0.77,0.2191,16
locf,3M,830,0.8267,0.7914,0.7281,0.8557,0.1803,16
locf,6M,746,0.902,0.878,0.828,0.9236,0.1346,16
locf,12M,605,0.9187,0.9075,0.8662,0.9455,0.1195,16
missforest,0M,1000,0.7119,0.6733,0.5882,0.7572,0.2182,13
missforest,1M,895,0.7364,0.6964,0.6238,0.7683,0.2202,16
missforest,3M,830,0.8325,0.7958,0.7304,0.8559,0.1774,16
missforest,6M,746,0.8521,0.8556,0.7998,0.9043,0.1519,16
missforest,12M,605,0.8345,0.7893,0.7275,0.8446,0.1833,16
knn,0M,1000,0.7152,0.6727,0.5874,0.756,0.2178,13
knn,1M,895,0.7508,0.6986,0.6243,0.7718,0.216,16
knn,3M,830,0.825,0.8017,0.7383,0.8587,0.1773,16
knn,6M,746,0.8558,0.8347,0.7762,0.888,0.1643,16
knn,12M,605,0.8265,0.7813,0.7125,0.8392,0.1919,16
ebm_native,0M,1000,0.7119,0.6719,0.5847,0.7522,0.2193,13
ebm_native,1M,895,0.7285,0.7067,0.6346,0.7794,0.2105,16
ebm_native,3M,830,0.8317,0.8016,0.7389,0.8601,0.1766,16
ebm_native,6M,746,0.8726,0.8526,0.7992,0.9035,0.1502,16
ebm_native,12M,605,0.8556,0.8013,0.7327,0.8559,0.1765,16
median_indicator,0M,1000,0.7152,0.6729,0.5892,0.7547,0.2188,16
median_indicator,1M,895,0.7378,0.7066,0.6331,0.7788,0.214,19
median_indicator,3M,830,0.8271,0.7972,0.734,0.8548,0.1782,19
median_indicator,6M,746,0.8731,0.8545,0.8002,0.9021,0.1495,19
median_indicator,12M,605,0.8636,0.7998,0.7308,0.8542,0.1757,19
