landmark,rank_global,rank_2d_only,term_raw,feature_a,feature_b,display,importance
1M,9,1,TPOAb & Velocity_load,TPOAb,Velocity_load,TPOAb × Velocity_load,0.0624
1M,12,2,TGAb & FT4_0M,TGAb,FT4_0M,TGAb × FT4_0M,0.0415
1M,14,3,TGAb & Velocity_load,TGAb,Velocity_load,TGAb × Velocity_load,0.0383
1M,15,4,log1p_DiseaseDuration_Months_Aug & Hormone_load,log1p_DiseaseDuration_Months_Aug,Hormone_load,log1p_DiseaseDuration_Months_Aug × Hormone_load,0.0382
1M,17,5,TPOAb & FT4_0M,TPOAb,FT4_0M,TPOAb × FT4_0M,0.0377
1M,19,6,log1p_DiseaseDuration_Months_Aug & Velocity_balance,log1p_DiseaseDuration_Months_Aug,Velocity_balance,log1p_DiseaseDuration_Months_Aug × Velocity_balance,0.0315
1M,20,7,TRAb & Hormone_load,TRAb,Hormone_load,TRAb × Hormone_load,0.0301
1M,21,8,ThyroidW & Hormone_load,ThyroidW,Hormone_load,ThyroidW × Hormone_load,0.03
1M,22,9,ThyroidW & HalfLife,ThyroidW,HalfLife,ThyroidW × HalfLife,0.0286
1M,23,10,ThyroidW & TSH_velocity,ThyroidW,TSH_velocity,ThyroidW × TSH_velocity,0.0284
1M,24,11,TGAb & Velocity_balance,TGAb,Velocity_balance,TGAb × Velocity_balance,0.0282
1M,25,12,ThyroidW & TSH_0M,ThyroidW,TSH_0M,ThyroidW × TSH_0M,0.0275
1M,26,13,FT4_0M & HalfLife,FT4_0M,HalfLife,FT4_0M × HalfLife,0.0269
1M,28,14,ThyroidW & Velocity_load,ThyroidW,Velocity_load,ThyroidW × Velocity_load,0.0261
1M,29,15,ThyroidW & TSH_current,ThyroidW,TSH_current,ThyroidW × TSH_current,0.0259
1M,32,16,TRAb & log1p_DiseaseDuration_Months_Aug,TRAb,log1p_DiseaseDuration_Months_Aug,TRAb × log1p_DiseaseDuration_Months_Aug,0.0221
1M,33,17,FT4_0M & TSH_0M,FT4_0M,TSH_0M,FT4_0M × TSH_0M,0.0204
1M,34,18,log1p_DiseaseDuration_Months_Aug & HalfLife,log1p_DiseaseDuration_Months_Aug,HalfLife,log1p_DiseaseDuration_Months_Aug × HalfLife,0.0196
1M,35,19,TSH_0M & TSH_current,TSH_0M,TSH_current,TSH_0M × TSH_current,0.0192
1M,36,20,TSH_0M & Hormone_load,TSH_0M,Hormone_load,TSH_0M × Hormone_load,0.0187
3M,10,1,TPOAb & Hormone_load,TPOAb,Hormone_load,TPOAb × Hormone_load,0.0656
3M,12,2,TRAb & TSH_current,TRAb,TSH_current,TRAb × TSH_current,0.063
3M,13,3,log1p_DiseaseDuration_Months_Aug & Velocity_load,log1p_DiseaseDuration_Months_Aug,Velocity_load,log1p_DiseaseDuration_Months_Aug × Velocity_load,0.0609
3M,14,4,ThyroidW & TPOAb,ThyroidW,TPOAb,ThyroidW × TPOAb,0.0591
3M,15,5,ThyroidW & Hormone_load,ThyroidW,Hormone_load,ThyroidW × Hormone_load,0.0564
3M,16,6,FT4_0M & Hormone_load,FT4_0M,Hormone_load,FT4_0M × Hormone_load,0.049
3M,18,7,TRAb & HalfLife,TRAb,HalfLife,TRAb × HalfLife,0.0455
3M,20,8,ThyroidW & HalfLife,ThyroidW,HalfLife,ThyroidW × HalfLife,0.0448
3M,21,9,Hormone_load & Velocity_balance,Hormone_load,Velocity_balance,Hormone_load × Velocity_balance,0.0399
3M,22,10,ThyroidW & T3T4_balance,ThyroidW,T3T4_balance,ThyroidW × T3T4_balance,0.0385
3M,24,11,FT4_0M & T3T4_balance,FT4_0M,T3T4_balance,FT4_0M × T3T4_balance,0.033
3M,25,12,log1p_DiseaseDuration_Months_Aug & Uptake24h,log1p_DiseaseDuration_Months_Aug,Uptake24h,log1p_DiseaseDuration_Months_Aug × Uptake24h,0.0307
3M,26,13,TSH_0M & TSH_velocity,TSH_0M,TSH_velocity,TSH_0M × TSH_velocity,0.0306
3M,28,14,ThyroidW & log1p_DiseaseDuration_Months_Aug,ThyroidW,log1p_DiseaseDuration_Months_Aug,ThyroidW × log1p_DiseaseDuration_Months_Aug,0.029
3M,29,15,Uptake24h & Velocity_load,Uptake24h,Velocity_load,Uptake24h × Velocity_load,0.028
3M,30,16,TRAb & T3T4_balance,TRAb,T3T4_balance,TRAb × T3T4_balance,0.0278
3M,31,17,FT4_0M & TSH_0M,FT4_0M,TSH_0M,FT4_0M × TSH_0M,0.0269
3M,32,18,Uptake24h & Hormone_load,Uptake24h,Hormone_load,Uptake24h × Hormone_load,0.0255
3M,33,19,Uptake24h & TSH_velocity,Uptake24h,TSH_velocity,Uptake24h × TSH_velocity,0.0246
3M,34,20,TRAb & Hormone_load,TRAb,Hormone_load,TRAb × Hormone_load,0.0242
6M,5,1,TGAb & FT4_0M,TGAb,FT4_0M,TGAb × FT4_0M,0.2428
6M,7,2,FT4_0M & Hormone_load,FT4_0M,Hormone_load,FT4_0M × Hormone_load,0.1779
6M,8,3,ThyroidW & HalfLife,ThyroidW,HalfLife,ThyroidW × HalfLife,0.1773
6M,9,4,Hormone_load & T3T4_balance,Hormone_load,T3T4_balance,Hormone_load × T3T4_balance,0.1771
6M,10,5,TSH_velocity & Velocity_load,TSH_velocity,Velocity_load,TSH_velocity × Velocity_load,0.1369
6M,11,6,TPOAb & Hormone_load,TPOAb,Hormone_load,TPOAb × Hormone_load,0.1326
6M,13,7,TPOAb & T3T4_balance,TPOAb,T3T4_balance,TPOAb × T3T4_balance,0.1224
6M,14,8,TRAb & TSH_current,TRAb,TSH_current,TRAb × TSH_current,0.1214
6M,15,9,TSH_velocity & Hormone_load,TSH_velocity,Hormone_load,TSH_velocity × Hormone_load,0.1185
6M,16,10,FT4_0M & TSH_current,FT4_0M,TSH_current,FT4_0M × TSH_current,0.1048
6M,18,11,ThyroidW & TRAb,ThyroidW,TRAb,ThyroidW × TRAb,0.0886
6M,20,12,Hormone_load & Velocity_load,Hormone_load,Velocity_load,Hormone_load × Velocity_load,0.08
6M,21,13,TSH_current & TSH_velocity,TSH_current,TSH_velocity,TSH_current × TSH_velocity,0.0784
6M,23,14,TSH_current & Velocity_load,TSH_current,Velocity_load,TSH_current × Velocity_load,0.0758
6M,24,15,TSH_current & Velocity_balance,TSH_current,Velocity_balance,TSH_current × Velocity_balance,0.0755
6M,26,16,Uptake24h & Velocity_load,Uptake24h,Velocity_load,Uptake24h × Velocity_load,0.0661
6M,30,17,FT4_0M & Velocity_load,FT4_0M,Velocity_load,FT4_0M × Velocity_load,0.0557
6M,31,18,TSH_0M & TSH_current,TSH_0M,TSH_current,TSH_0M × TSH_current,0.051
6M,32,19,TSH_0M & Hormone_load,TSH_0M,Hormone_load,TSH_0M × Hormone_load,0.0486
6M,34,20,TSH_0M & Velocity_load,TSH_0M,Velocity_load,TSH_0M × Velocity_load,0.0351
12M,6,1,Hormone_load & Velocity_balance,Hormone_load,Velocity_balance,Hormone_load × Velocity_balance,0.2152
12M,8,2,Hormone_load & T3T4_balance,Hormone_load,T3T4_balance,Hormone_load × T3T4_balance,0.1803
12M,9,3,TSH_current & Velocity_load,TSH_current,Velocity_load,TSH_current × Velocity_load,0.166
12M,10,4,ThyroidW & HalfLife,ThyroidW,HalfLife,ThyroidW × HalfLife,0.1599
12M,11,5,TPOAb & FT4_0M,TPOAb,FT4_0M,TPOAb × FT4_0M,0.1599
12M,12,6,TGAb & FT4_0M,TGAb,FT4_0M,TGAb × FT4_0M,0.1524
12M,13,7,TPOAb & TSH_current,TPOAb,TSH_current,TPOAb × TSH_current,0.1393
12M,14,8,HalfLife & Hormone_load,HalfLife,Hormone_load,HalfLife × Hormone_load,0.1276
12M,16,9,T3T4_balance & Velocity_load,T3T4_balance,Velocity_load,T3T4_balance × Velocity_load,0.1187
12M,19,10,ThyroidW & Hormone_load,ThyroidW,Hormone_load,ThyroidW × Hormone_load,0.0958
12M,20,11,Hormone_load & Velocity_load,Hormone_load,Velocity_load,Hormone_load × Velocity_load,0.0906
12M,21,12,ThyroidW & T3T4_balance,ThyroidW,T3T4_balance,ThyroidW × T3T4_balance,0.0865
12M,22,13,TSH_velocity & Velocity_balance,TSH_velocity,Velocity_balance,TSH_velocity × Velocity_balance,0.0854
12M,23,14,FT4_0M & TSH_0M,FT4_0M,TSH_0M,FT4_0M × TSH_0M,0.0776
12M,24,15,ThyroidW & TSH_velocity,ThyroidW,TSH_velocity,ThyroidW × TSH_velocity,0.0754
12M,25,16,HalfLife & TSH_current,HalfLife,TSH_current,HalfLife × TSH_current,0.0719
12M,26,17,T3T4_balance & Velocity_balance,T3T4_balance,Velocity_balance,T3T4_balance × Velocity_balance,0.0655
12M,27,18,TSH_velocity & Velocity_load,TSH_velocity,Velocity_load,TSH_velocity × Velocity_load,0.0585
