Variant,Feature
A_EarlyRiskOnly,EarlyNHRHRisk
B_CurrentThyroid,Current_Month
B_CurrentThyroid,Interval_Width
B_CurrentThyroid,FT3_Current
B_CurrentThyroid,FT4_Current
B_CurrentThyroid,TSH_Current
B_CurrentThyroid,logTSH_Current
B_CurrentThyroid,Current_State_Code
B_CurrentThyroid,Current_State_Hyper
B_CurrentThyroid,Current_State_Normal
B_CurrentThyroid,Current_State_Hypo
B_CurrentThyroid,Window_3M_to_6M
B_CurrentThyroid,Window_6M_to_12M
B_CurrentThyroid,Window_12M_to_18M
B_CurrentThyroid,Window_18M_to_24M
C_CurrentPlusMomentum,Current_Month
C_CurrentPlusMomentum,Interval_Width
C_CurrentPlusMomentum,FT3_Current
C_CurrentPlusMomentum,FT4_Current
C_CurrentPlusMomentum,TSH_Current
C_CurrentPlusMomentum,logTSH_Current
C_CurrentPlusMomentum,Current_State_Code
C_CurrentPlusMomentum,Current_State_Hyper
C_CurrentPlusMomentum,Current_State_Normal
C_CurrentPlusMomentum,Current_State_Hypo
C_CurrentPlusMomentum,Window_3M_to_6M
C_CurrentPlusMomentum,Window_6M_to_12M
C_CurrentPlusMomentum,Window_12M_to_18M
C_CurrentPlusMomentum,Window_18M_to_24M
C_CurrentPlusMomentum,FT3_mean_0t
C_CurrentPlusMomentum,FT3_std_0t
C_CurrentPlusMomentum,FT3_slope_0t
C_CurrentPlusMomentum,D_FT3_current_baseline
C_CurrentPlusMomentum,D_FT3_current_prev
C_CurrentPlusMomentum,FT3_current_over_baseline
C_CurrentPlusMomentum,FT4_mean_0t
C_CurrentPlusMomentum,FT4_std_0t
C_CurrentPlusMomentum,FT4_slope_0t
C_CurrentPlusMomentum,D_FT4_current_baseline
C_CurrentPlusMomentum,D_FT4_current_prev
C_CurrentPlusMomentum,FT4_current_over_baseline
C_CurrentPlusMomentum,TSH_mean_0t
C_CurrentPlusMomentum,TSH_std_0t
C_CurrentPlusMomentum,TSH_slope_0t
C_CurrentPlusMomentum,D_TSH_current_baseline
C_CurrentPlusMomentum,D_TSH_current_prev
C_CurrentPlusMomentum,TSH_current_over_baseline
C_CurrentPlusMomentum,FT3_Current_over_FT4_Current
C_CurrentPlusMomentum,FT4_Current_over_TSH_Current_plus1
C_CurrentPlusMomentum,ThyroidW_x_FT3_Current
C_CurrentPlusMomentum,ThyroidW_x_FT4_Current
C_CurrentPlusMomentum,FT3_Current_x_Window_3M_to_6M
C_CurrentPlusMomentum,FT4_Current_x_Window_3M_to_6M
C_CurrentPlusMomentum,FT3_Current_x_Window_6M_to_12M
C_CurrentPlusMomentum,FT4_Current_x_Window_6M_to_12M
C_CurrentPlusMomentum,FT3_Current_x_Window_12M_to_18M
C_CurrentPlusMomentum,FT4_Current_x_Window_12M_to_18M
C_CurrentPlusMomentum,FT3_Current_x_Window_18M_to_24M
C_CurrentPlusMomentum,FT4_Current_x_Window_18M_to_24M
C_CurrentPlusMomentum,History_Hyper_Count
C_CurrentPlusMomentum,History_Normal_Count
C_CurrentPlusMomentum,History_Hypo_Count
C_CurrentPlusMomentum,History_Hyper_Frac
C_CurrentPlusMomentum,History_Control_Frac
C_CurrentPlusMomentum,Eval_1M_Code
C_CurrentPlusMomentum,Eval_1M_Hyper
C_CurrentPlusMomentum,Eval_1M_Normal
