Cluster,Feature,Feature_Label,Centroid_Z,Mean,SD,N
1,Age,Age at radioiodine therapy,0.26165752289472183,47.146341463414636,15.11971991066465,205
1,Sex,Sex,0.631603912037125,0.4975609756097561,0.501218028601448,205
1,ThyroidW,Thyroid weight,-0.052428976713283344,34.93808864112078,29.506161360128377,205
1,Uptake24h,24-hour thyroid RAI uptake,-1.3432928386423115,0.5014439024390244,0.10794221867708488,205
1,MaxUptake,Peak thyroid RAI uptake,-1.2680306964575188,0.592207467756565,0.12960390209390585,205
1,HalfLife,Effective iodine half-life,-0.6386608009218793,4.635902819419369,1.0122900011192957,205
1,TRAb,TSH receptor antibody,0.08208167585424002,20.2023887782459,13.983339241134349,205
1,TPOAb,Thyroid peroxidase antibody,0.206723598357481,595.037488085992,400.8737762607437,205
1,TGAb,Thyroglobulin antibody,0.22440864274964564,446.2971666655892,802.7924512607711,205
1,FT4_0M,FT4 at baseline,-0.6098969390337973,22.03740560512818,9.106338957915163,205
1,FT3_0M,FT3 at baseline,-0.6723465241260932,12.2915365116031,7.2337413639143815,205
1,logTSH_0M,Log-transformed TSH at baseline,-0.03666513496687238,0.02994280279937334,0.2932824512799153,205
2,Age,Age at radioiodine therapy,0.2139506969753661,46.76902173913044,14.818370553214926,368
2,Sex,Sex,-0.24244548347234982,0.15217391304347827,0.35967840945447077,368
2,ThyroidW,Thyroid weight,-0.4879550223492265,25.66495310320662,18.775663151756028,368
2,Uptake24h,24-hour thyroid RAI uptake,0.21855965799628646,1.1929584115754346,5.685488956720574,368
2,MaxUptake,Peak thyroid RAI uptake,0.16212422111540478,0.7620021397587301,0.07614267013004682,368
2,HalfLife,Effective iodine half-life,0.36047965930266435,5.700981842178263,0.909579640589209,368
2,TRAb,TSH receptor antibody,-0.5995461518454038,11.32360128437504,10.454951629817343,368
2,TPOAb,Thyroid peroxidase antibody,-0.35840649580896755,355.32559803551607,375.8842318578645,368
2,TGAb,Thyroglobulin antibody,-0.2591647761498084,284.54495919277406,656.3239171686782,368
2,FT4_0M,FT4 at baseline,-0.5446232064125408,22.34839649604094,8.080062756792461,368
2,FT3_0M,FT3 at baseline,-0.693886271991659,11.89595410324797,5.89917964130634,368
2,logTSH_0M,Log-transformed TSH at baseline,0.19432402925917716,0.07603998309012176,0.4284752378270434,368
3,Age,Age at radioiodine therapy,-0.30787427999224076,39.890697674418604,24.0537404731062,430
3,Sex,Sex,-0.0989888611169668,0.20465116279069767,0.4039164262908234,430
3,ThyroidW,Thyroid weight,0.4394944088964511,43.265341733916046,27.073396657413493,430
3,Uptake24h,24-hour thyroid RAI uptake,0.46269532290612636,1.113127170319897,5.493210400441165,430
3,MaxUptake,Peak thyroid RAI uptake,0.47428146234374974,0.7950206525024202,0.0711617339144927,430
3,HalfLife,Effective iodine half-life,0.002202419873991034,5.3822240722728205,1.81528906830505,430
3,TRAb,TSH receptor antibody,0.46930790159027413,23.73665758878599,11.66481496799331,430
3,TPOAb,Thyroid peroxidase antibody,0.20447261467696806,581.1931227316536,395.67212501147594,430
3,TGAb,Thyroglobulin antibody,0.1116984881956469,343.91100023354994,661.7805797691716,430
3,FT4_0M,FT4 at baseline,0.756607174860675,40.224251311966924,12.218137419046137,430
3,FT3_0M,FT3 at baseline,0.9134427744956287,27.57911627906966,5.376724305018979,430
3,logTSH_0M,Log-transformed TSH at baseline,-0.14725640738133436,0.011066959719428749,0.14030199844795246,430
