Cluster,Domain,Landmark,N,Mean_RiskScore,SD_RiskScore,SE_RiskScore,Observed_24M_NHRH_Rate
1,OOF,0M,166,0.33970947891984327,0.17166430052110015,0.01332373370944618,0.2891566265060241
1,OOF,1M,166,0.3386070802333503,0.18406204427873804,0.014285985242952484,0.2891566265060241
1,OOF,3M,166,0.3080574594747978,0.27163891746780966,0.02108326885949396,0.2891566265060241
1,OOF,6M,166,0.30892243024525945,0.3437116845393334,0.026677200464661283,0.2891566265060241
2,OOF,0M,292,0.30167967266353773,0.10408378301952768,0.006091042684559328,0.3082191780821918
2,OOF,1M,292,0.3068175234468115,0.13645768881556478,0.007985582221353149,0.3082191780821918
2,OOF,3M,292,0.3051043394823889,0.2598981597195818,0.015209389383871515,0.3082191780821918
2,OOF,6M,292,0.29699433437162764,0.32516699982955505,0.01902895934518756,0.3082191780821918
3,OOF,0M,344,0.4288307714374374,0.16725361238515274,0.009017710425891987,0.4476744186046512
3,OOF,1M,344,0.42500111893070647,0.19181989082046144,0.010342235391375569,0.4476744186046512
3,OOF,3M,344,0.4411976413276502,0.3007159362653842,0.016213516676982405,0.4476744186046512
3,OOF,6M,344,0.4476643544130955,0.3727492243829888,0.020097291287324202,0.4476744186046512
1,Test,0M,39,0.39310709098453034,0.22108551527018996,0.03540201539326192,0.41025641025641024
1,Test,1M,39,0.3868543503514194,0.22317708937781056,0.035736935293661724,0.41025641025641024
1,Test,3M,39,0.4000824531512312,0.3120719619038172,0.04997150711398973,0.41025641025641024
1,Test,6M,39,0.4012576078474561,0.390635154513087,0.06255168610354557,0.41025641025641024
2,Test,0M,76,0.35867133030034437,0.15087771466784317,0.01730686081761823,0.39473684210526316
2,Test,1M,76,0.3762666167382999,0.18628051901939666,0.021367840988312008,0.39473684210526316
2,Test,3M,76,0.3825407987066735,0.3040657017886451,0.0348787280603547,0.39473684210526316
2,Test,6M,76,0.40626423119259947,0.36363640270554926,0.04171195609437235,0.39473684210526316
3,Test,0M,86,0.47320678098032937,0.19864533775021587,0.021420477653539452,0.4186046511627907
3,Test,1M,86,0.4590796378479751,0.21356840848478864,0.023029673755559504,0.4186046511627907
3,Test,3M,86,0.42516041011339883,0.30003636934928307,0.03235375376882432,0.4186046511627907
3,Test,6M,86,0.4064197689389514,0.365224713245047,0.03938319367164399,0.4186046511627907
