Cluster,Domain,Current_Time,N_windows,N_episodes,Mean_P_H1,SD_P_H1,SE_P_H1,Observed_H1_Rate
1,OOF,3M,164,164,0.5582745758536586,0.08461022937261199,0.006606948907689324,0.23780487804878048
1,OOF,6M,164,164,0.5029921184146339,0.07867012379248775,0.0061431045904575725,0.21951219512195122
1,OOF,12M,165,165,0.39555472563636374,0.09011608563275046,0.007015527751706562,0.18787878787878787
1,OOF,18M,163,163,0.3802459350920242,0.0957978731766654,0.007503468525224421,0.19631901840490798
2,OOF,3M,288,288,0.5561688359375001,0.08579781505367534,0.005055684736286924,0.23958333333333334
2,OOF,6M,290,290,0.4978201604137932,0.0839701648887311,0.004930897865864652,0.23103448275862068
2,OOF,12M,291,291,0.3837193190721651,0.07732434488958445,0.004532833373710767,0.20962199312714777
2,OOF,18M,284,284,0.3744496253873242,0.08737540827948079,0.005184776596164357,0.18661971830985916
3,OOF,3M,338,338,0.6197632086094678,0.07820741415578857,0.004253922529894068,0.3668639053254438
3,OOF,6M,339,339,0.5632376120943957,0.08260995327441602,0.0044867567765241026,0.35398230088495575
3,OOF,12M,343,343,0.453803864606414,0.09437180155528414,0.005095598320253477,0.30612244897959184
3,OOF,18M,331,331,0.43491484247734125,0.10225270954312521,0.0056203172139865035,0.31722054380664655
1,TemporalTest,3M,39,39,0.6241739799999998,0.11182895776593577,0.017906964549006355,0.358974358974359
1,TemporalTest,6M,38,38,0.5430551247368419,0.11544816968558946,0.018728166153341743,0.23684210526315788
1,TemporalTest,12M,39,39,0.45653482717948707,0.12315741995729332,0.01972097028515917,0.23076923076923078
1,TemporalTest,18M,39,39,0.4061113807692308,0.13487069655451256,0.021596595641680223,0.28205128205128205
2,TemporalTest,3M,76,76,0.6247786478947367,0.12340948367132536,0.014156038631522106,0.3684210526315789
2,TemporalTest,6M,76,76,0.5437960159210525,0.12017738215412903,0.01378529116076623,0.25
2,TemporalTest,12M,76,76,0.4580085765789474,0.11100118467413744,0.012732709121259496,0.21052631578947367
2,TemporalTest,18M,76,76,0.39990983592105256,0.12827094643387588,0.014713686655199575,0.2236842105263158
3,TemporalTest,3M,85,85,0.625300478352941,0.11448958051432853,0.012418138558219593,0.29411764705882354
3,TemporalTest,6M,85,85,0.5645010305882353,0.12499218183032268,0.01355730561410231,0.35294117647058826
3,TemporalTest,12M,86,86,0.48143071418604644,0.12234158096233187,0.013192431953261231,0.32558139534883723
3,TemporalTest,18M,85,85,0.4250551996470588,0.13962418012173192,0.01514436865818091,0.3176470588235294
