TrajCluster,TrajLabel,Domain,Landmark,N,Mean_RiskScore,SE_RiskScore,Observed_Rate
0,falling,Development,0M,494,0.297157,0.003517,0.093117
0,falling,Development,1M,494,0.282995,0.004747,0.093117
0,falling,Development,3M,494,0.186482,0.005948,0.093117
0,falling,Development,6M,494,0.120016,0.004248,0.093117
0,falling,Temporal,0M,110,0.320917,0.008422,0.1
0,falling,Temporal,1M,110,0.303933,0.011514,0.1
0,falling,Temporal,3M,110,0.206669,0.014773,0.1
0,falling,Temporal,6M,110,0.120868,0.010424,0.1
1,rising,Development,0M,209,0.36243,0.005947,0.803828
1,rising,Development,1M,209,0.384376,0.007623,0.803828
1,rising,Development,3M,209,0.576,0.014671,0.803828
1,rising,Development,6M,209,0.744281,0.017346,0.803828
1,rising,Temporal,0M,49,0.35416,0.01368,0.836735
1,rising,Temporal,1M,49,0.376661,0.016333,0.836735
1,rising,Temporal,3M,49,0.54635,0.035558,0.836735
1,rising,Temporal,6M,49,0.790545,0.028663,0.836735
2,stable-high,Development,0M,99,0.701582,0.015221,0.787879
2,stable-high,Development,1M,99,0.725918,0.013089,0.787879
2,stable-high,Development,3M,99,0.80297,0.02135,0.787879
2,stable-high,Development,6M,99,0.779366,0.028635,0.787879
2,stable-high,Temporal,0M,42,0.729316,0.022542,0.714286
2,stable-high,Temporal,1M,42,0.744654,0.01659,0.714286
2,stable-high,Temporal,3M,42,0.755602,0.036561,0.714286
2,stable-high,Temporal,6M,42,0.701074,0.048039,0.714286
