Characteristic,Overall,Training,Validation,TemporalValidation,P_Cohort
Demographics,,,,,
"Male, n (%)",217 (24.4%),138 (22.8%),22 (20.6%),57 (32.0%),0.027
Disease burden / treatment,,,,,
"Exophthalmos, n (%)",889 (100.0%),604 (100.0%),107 (100.0%),178 (100.0%),
"Age, median (IQR)","42.00 (32.00, 56.00)","42.00 (32.00, 55.00)","42.00 (32.50, 58.50)","41.50 (31.00, 57.00)",0.902
"Height, median (IQR)","1.64 (1.60, 1.69)","1.64 (1.60, 1.69)","1.64 (1.60, 1.69)","1.63 (1.58, 1.69)",0.788
"Weight, median (IQR)","60.00 (54.00, 67.00)","60.00 (54.00, 67.00)","60.00 (54.00, 65.00)","57.00 (52.00, 70.00)",0.715
"BMI, median (IQR)","22.31 (20.40, 24.62)","22.39 (20.45, 24.73)","22.31 (20.34, 24.03)","20.83 (18.73, 24.22)",0.478
"Thyroid weight, median (IQR)","27.30 (19.00, 43.10)","26.70 (18.48, 40.85)","25.80 (19.95, 41.15)","31.25 (20.90, 50.30)",0.016
"RAI 3d uptake, median (IQR)","2.50 (1.70, 3.90)","2.40 (1.70, 4.00)","2.50 (1.55, 3.75)","2.70 (1.70, 3.90)",0.566
"Treatment count, median (IQR)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)","1.00 (1.00, 1.00)",0.136
"Dose, median (IQR)","5.00 (4.00, 8.00)","5.00 (3.00, 8.00)","5.00 (4.00, 7.00)","6.00 (4.00, 9.00)",0.036
"24h uptake, median (IQR)","0.68 (0.61, 0.74)","0.68 (0.60, 0.75)","0.69 (0.62, 0.73)","0.68 (0.62, 0.70)",0.024
"Max uptake, median (IQR)","0.76 (0.70, 0.82)","0.77 (0.70, 0.83)","0.76 (0.71, 0.81)","0.77 (0.74, 0.79)",0.789
"Half-life, median (IQR)","5.40 (4.50, 6.30)","5.45 (4.50, 6.40)","5.30 (4.30, 5.70)","5.10 (4.40, 5.83)",0.081
Immunology / baseline labs,,,,,
"TGAb, median (IQR)","29.45 (20.00, 191.00)","28.10 (20.00, 237.00)","41.70 (20.00, 217.00)","28.30 (20.00, 116.25)",0.362
"TPOAb, median (IQR)","326.00 (49.75, 1000.00)","325.00 (40.60, 1000.00)","329.50 (73.22, 1000.00)","331.00 (58.27, 1000.00)",0.450
"TRAb, median (IQR)","13.98 (6.21, 27.70)","13.35 (5.97, 25.85)","13.28 (6.39, 29.91)","16.02 (6.33, 30.13)",0.271
"FT3 0M, median (IQR)","18.00 (9.60, 30.72)","17.44 (9.42, 30.72)","19.49 (11.38, 30.72)","20.02 (9.67, 30.72)",0.635
"FT4 0M, median (IQR)","28.86 (19.81, 38.58)","27.77 (19.44, 37.67)","31.27 (21.26, 41.91)","30.31 (20.19, 41.12)",0.108
"TSH 0M, median (IQR)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)",0.566
