N,Events,Prevalence,Threshold,TP,FP,TN,FN,AUC,PR_AUC,PR_AUC_Lift,Accuracy,Recall,Specificity,PPV,NPV,F1,Balanced_Accuracy,Brier,Calibration_Intercept,Calibration_Slope,Split,Variant,Removed_Branch,Best_Epoch,Full_AUC,Full_PR_AUC,Full_Brier,Delta_AUC_vs_Full,Delta_PR_AUC_vs_Full,Delta_Brier_vs_Full,Ablation_Type
1796,146,0.08129175946547884,0.7849999999999997,97,284,1366,49,0.8512577833125778,0.31787306077624045,3.910274090096766,0.8145879732739421,0.6643835616438356,0.8278787878787879,0.2545931758530184,0.9653710247349824,0.3681214421252372,0.7461311747613117,0.2210073953469629,-3.01644786829113,1.2143284470962599,Train,full,none,11,0.8512577833125778,0.31787306077624045,0.2210073953469629,0.0,0.0,0.0,training_time_branch_removal
300,23,0.07666666666666666,0.7849999999999997,17,49,228,6,0.8648563804740229,0.36532177496341156,4.765066629957542,0.8166666666666667,0.7391304347826086,0.8231046931407943,0.25757575757575757,0.9743589743589743,0.38202247191011235,0.7811175639617014,0.21841573494925845,-3.049374852583944,1.1682999258192057,Validation,full,none,11,0.8648563804740229,0.36532177496341156,0.21841573494925845,0.0,0.0,0.0,training_time_branch_removal
514,41,0.07976653696498054,0.7849999999999997,25,78,395,16,0.8415923271283452,0.319670629756535,4.0075781388989995,0.8171206225680934,0.6097560975609756,0.8350951374207188,0.24271844660194175,0.9610705596107056,0.3472222222222222,0.7224256174908472,0.21894521702949435,-2.878099101983624,1.084133470245994,TemporalTest,full,none,11,0.8415923271283452,0.319670629756535,0.21894521702949435,0.0,0.0,0.0,training_time_branch_removal
1796,146,0.08129175946547884,0.7949999999999997,89,223,1427,57,0.851129099211291,0.2955018317881108,3.6350773280236095,0.844097995545657,0.6095890410958904,0.8648484848484849,0.28525641025641024,0.9615902964959568,0.388646288209607,0.7372187629721876,0.21174958231411048,-2.9234162709568667,1.183219207898377,Train,drop_static_train,static,21,0.8512577833125778,0.31787306077624045,0.2210073953469629,-0.0001286841012868578,-0.022371228988129654,-0.009257813032852419,training_time_branch_removal
300,23,0.07666666666666666,0.7949999999999997,12,33,244,11,0.8461779940354732,0.3292347517481671,4.294366327150006,0.8533333333333334,0.5217391304347826,0.8808664259927798,0.26666666666666666,0.9568627450980393,0.35294117647058826,0.7013027782137812,0.19881269314744762,-2.6978617582029756,0.9994555192009633,Validation,drop_static_train,static,21,0.8648563804740229,0.36532177496341156,0.21841573494925845,-0.018678386438549688,-0.036087023215244485,-0.019603041801810828,training_time_branch_removal
514,41,0.07976653696498054,0.7949999999999997,17,56,417,24,0.8142628783581705,0.3183867754282674,3.9914829895153523,0.8443579766536965,0.4146341463414634,0.8816067653276956,0.2328767123287671,0.9455782312925171,0.2982456140350877,0.6481204558345794,0.20009671512995034,-2.541847693228168,0.8931992893200457,TemporalTest,drop_static_train,static,21,0.8415923271283452,0.319670629756535,0.21894521702949435,-0.027329448770174736,-0.0012838543282676085,-0.018848501899544012,training_time_branch_removal
1796,146,0.08129175946547884,0.7449999999999997,103,267,1383,43,0.8618098796180989,0.2993712083720086,3.6826759605214208,0.8273942093541202,0.7054794520547946,0.8381818181818181,0.27837837837837837,0.9698457223001402,0.3992248062015504,0.7718306351183064,0.198985814076109,-2.878568434418135,1.1763307298158563,Train,drop_local_train,local,16,0.8512577833125778,0.31787306077624045,0.2210073953469629,0.010552096305521008,-0.018501852404231856,-0.022021581270853907,training_time_branch_removal
300,23,0.07666666666666666,0.7449999999999997,15,42,235,8,0.8529273269502433,0.35920690177126574,4.685307414407815,0.8333333333333334,0.6521739130434783,0.8483754512635379,0.2631578947368421,0.9670781893004116,0.375,0.750274682153508,0.19021737763844201,-2.698440528673254,1.015639331285314,Validation,drop_local_train,local,16,0.8648563804740229,0.36532177496341156,0.21841573494925845,-0.011929053523779598,-0.00611487319214582,-0.028198357310816435,training_time_branch_removal
514,41,0.07976653696498054,0.7449999999999997,25,75,398,16,0.8410766771515495,0.2781649828503915,3.487239053295152,0.8229571984435797,0.6097560975609756,0.8414376321353065,0.25,0.961352657004831,0.3546099290780142,0.725596864848141,0.19427190379855444,-2.649658622582463,0.9794171018562845,TemporalTest,drop_local_train,local,16,0.8415923271283452,0.319670629756535,0.21894521702949435,-0.0005156499767956513,-0.0415056469061435,-0.02467331323093991,training_time_branch_removal
1796,146,0.08129175946547884,0.7949999999999997,93,266,1384,53,0.8502698215026983,0.33299578712853684,4.096304340293508,0.8223830734966593,0.636986301369863,0.8387878787878787,0.2590529247910863,0.9631176061238692,0.3683168316831683,0.7378870900788709,0.23374864968620193,-3.152453921157727,1.2378834674332866,Train,drop_global_train,global,10,0.8512577833125778,0.31787306077624045,0.2210073953469629,-0.0009879618098795895,0.01512272635229639,0.012741254339239033,training_time_branch_removal
