Split,Risk_Decile,N,Events,Mean_Predicted_Risk,Observed_Risk,Min_Predicted_Risk,Max_Predicted_Risk
Train,1,180,0,0.0891598144611111,0.0,0.081741676,0.09725915
Train,2,180,0,0.1039119614722222,0.0,0.09727066,0.10958107
Train,3,179,1,0.11585835746927373,0.00558659217877095,0.10958712,0.1274873
Train,4,180,3,0.16395191383333332,0.016666666666666666,0.12796643,0.22019447
Train,5,179,0,0.294141929329609,0.0,0.22032331,0.34761733
Train,6,180,10,0.42466305705555557,0.05555555555555555,0.34862494,0.5100454
Train,7,179,14,0.5935930980446926,0.0782122905027933,0.510066,0.666099
Train,8,180,28,0.7393133717777778,0.15555555555555556,0.6673103,0.7963395
Train,9,179,31,0.8193899387150837,0.17318435754189945,0.79636186,0.83473736
Train,10,180,59,0.8480042353333334,0.3277777777777778,0.8348501,0.8836876
Validation,1,30,0,0.08625363036666664,0.0,0.08049543,0.08985948
Validation,2,30,0,0.0954755627,0.0,0.090005614,0.10129506
Validation,3,30,0,0.1086453911,0.0,0.10144872,0.11602221
Validation,4,30,0,0.13688619083333334,0.0,0.11623183,0.168356
Validation,5,30,0,0.245191004,0.0,0.16972584,0.31894928
Validation,6,30,3,0.40009043099999997,0.1,0.32099625,0.47796637
Validation,7,30,2,0.572147179,0.06666666666666667,0.48284265,0.6883655
Validation,8,30,3,0.7510848013333333,0.1,0.6941335,0.80344146
Validation,9,30,5,0.8243399476666666,0.16666666666666666,0.80503213,0.839726
Validation,10,30,10,0.851444171,0.3333333333333333,0.84008,0.8832987
TemporalTest,1,52,0,0.08710339611538463,0.0,0.08078221,0.09190826
TemporalTest,2,51,0,0.10113509307843138,0.0,0.09229881,0.10708537
TemporalTest,3,51,0,0.11261450905882353,0.0,0.10767489,0.120083995
TemporalTest,4,52,1,0.15624693692307692,0.019230769230769232,0.120683365,0.2048922
TemporalTest,5,51,1,0.27030557274509803,0.0196078431372549,0.20550728,0.33102533
TemporalTest,6,51,3,0.39946850294117653,0.058823529411764705,0.3312689,0.47924256
TemporalTest,7,52,5,0.5869937063461539,0.09615384615384616,0.48976514,0.65716153
TemporalTest,8,51,6,0.7341565427450982,0.11764705882352941,0.6647601,0.783032
TemporalTest,9,51,8,0.8131297470588236,0.1568627450980392,0.7863589,0.83457136
TemporalTest,10,52,17,0.852542461346154,0.3269230769230769,0.835153,0.88475156
