Threshold_Probability,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,Alert_Rate
0.05,0.03133319680524267,0.031333196805242665,0.0,1.0
0.06,0.02102823081380909,0.021028230813809085,0.0,1.0
0.07,0.010501652650516696,0.010501652650516682,0.0,1.0
0.08,-0.0002537641684994124,-0.0002537641684994124,0.0,1.0
0.09,-0.003548980202676702,-0.011245563774746656,0.0,0.9221789883268483
0.1,-0.007998270644185054,-0.02248162559446608,0.0,0.8696498054474708
0.11,-0.0053556595112140976,-0.03397018318541513,0.0,0.7684824902723736
0.12,-0.005129112133003183,-0.04571984435797666,0.0,0.7023346303501945
0.13,-0.010353772530077382,-0.057739612683930436,0.0,0.6828793774319066
0.14,-0.015564202334630364,-0.0700389105058366,0.0,0.6653696498054474
0.15,-0.020828564888990625,-0.08262760357061116,0.0,0.6498054474708171
0.16,-0.02927552343894757,-0.09551602742264223,0.0,0.6400778210116731
0.17,-0.03494913506164739,-0.10871501570484277,0.0,0.6284046692607004
0.18,-0.04175761601973994,-0.12223593053051152,0.0,0.622568093385214
0.19,-0.048133736849690134,-0.1360906951049623,0.0,0.6147859922178989
0.2,-0.054474708171206226,-0.15029182879377434,0.0,0.6070038910505836
0.21,-0.06065606068068756,-0.164852484854455,0.0,0.5894941634241245
0.22,-0.06679636835278858,-0.1797864910705378,0.0,0.5817120622568094
0.23,-0.07463742483197737,-0.19510839355197335,0.0,0.5797665369649806
0.24,-0.0820192504607823,-0.21083350399344664,0.0,0.5758754863813229
0.25,-0.08819714656290532,-0.2269779507133593,0.0,0.5680933852140078
0.26,-0.09638237459249134,-0.24355873383110743,0.0,0.566147859922179
0.27,-0.09970150844837695,-0.26059378497947877,0.0,0.5505836575875487
0.28,-0.10570687418936449,-0.27810203199308264,0.0,0.5428015564202334
0.29,-0.11086753986956761,-0.29610346906340773,0.0,0.5330739299610895
0.3,-0.11756531406336855,-0.3146192329071707,0.0,0.5272373540856031
0.31,-0.12428805052726559,-0.3336716855579993,0.0,0.5214007782101168
0.32,-0.1282902265964752,-0.353284504463264,0.0,0.5097276264591439
0.33,-0.13397990591788145,-0.37348278064928286,0.0,0.5019455252918288
0.34,-0.1365994576111308,-0.3942931258106357,0.0,0.4883268482490272
0.35,-0.13992816521999402,-0.41574378928464534,0.0,0.4766536964980545
0.36,-0.14846789883268485,-0.43786478599221795,0.0,0.47470817120622566
0.37,-0.15721697239206966,-0.46068803656352303,0.0,0.4727626459143969
0.38,-0.16499309652315802,-0.484247521024225,0.0,0.4688715953307393
0.39,-0.16916501881737583,-0.5085794475983927,0.0,0.4591439688715953
0.4,-0.1718547341115435,-0.5337224383916992,0.0,0.4474708171206226
