Split,Error_Group,N,Events,Mean_Probability,Median_Probability,Mean_Start_Time,Mean_Stop_Time,Mean_Y_Relapse,Mean_DirectProb,Mean_Pred_Label,Mean_FT3_Current,Mean_FT4_Current,Mean_logTSH_Current,Mean_Delta_FT4_1step,Mean_Delta_TSH_1step,Mean_Time_In_Normal,Mean_Prior_Relapse_Count,Mean_Ever_Hyper_Before,Mean_Ever_Hypo_Before
TemporalTest,FN,16,16,0.57214287,0.617550995,7.4375,12.0,1.0,0.57214287,0.0,4.242409187910809,12.311484572107608,0.8516764647511159,-3.622644910303344,0.4587762073687648,1.0625,0.25,0.25,0.125
TemporalTest,FP,78,0,0.8297143323076923,0.83163663,2.9615384615384617,6.076923076923077,0.0,0.8297143323076923,1.0,4.746560366588331,13.13310754204831,0.060466673911212666,-12.4221838944354,-0.18202516451035286,0.11538461538461539,0.02564102564102564,0.02564102564102564,0.0641025641025641
TemporalTest,TN,395,0,0.2950007477898734,0.1915682,11.445569620253165,17.035443037974684,0.0,0.2950007477898734,0.0,4.212949993237815,13.04539021313361,1.1663489849675446,0.12235450651084455,-0.14001931037413798,1.610126582278481,0.06329113924050633,0.06329113924050633,0.46835443037974683
TemporalTest,TP,25,25,0.8433642868000001,0.8442899,2.88,5.88,1.0,0.8433642868000001,1.0,4.761611256739807,13.398985194919197,0.07619247182075249,-12.526614805080806,0.011333526730586766,0.0,0.0,0.0,0.0
Train,FN,49,49,0.5895121263265306,0.63475364,7.0,11.816326530612244,1.0,0.5895121263265306,0.0,4.36943605162101,12.615088350425413,0.8710107756177602,-0.887636672410916,-0.04410632136101433,1.0408163265306123,0.061224489795918366,0.061224489795918366,0.20408163265306123
Train,FP,284,0,0.8293986442253521,0.8297758500000001,2.834507042253521,5.894366197183099,0.0,0.8293986442253521,1.0,4.802984982440536,13.078595618552823,0.03799338917444306,-10.941967802153242,-0.0861665531169987,0.11619718309859155,0.017605633802816902,0.017605633802816902,0.028169014084507043
Train,TN,1366,0,0.2980409290592972,0.189806235,11.227672035139092,16.772327964860906,0.0,0.2980409290592972,0.0,4.208934488113015,12.770852217764672,1.195713010132256,-0.011614277645936021,-0.052487943950179285,1.7174231332357248,0.07906295754026355,0.07906295754026355,0.3953147877013177
Train,TP,97,97,0.8368616534020619,0.8384384,3.8247422680412373,7.268041237113402,1.0,0.8368616534020619,1.0,4.975554221504399,13.137644674575135,0.06746990749641987,-10.819926773613142,-0.21106938262019526,0.16494845360824742,0.061855670103092786,0.061855670103092786,0.09278350515463918
Validation,FN,6,6,0.5056392749999999,0.48686105,8.333333333333334,13.0,1.0,0.5056392749999999,0.0,3.945,12.571666666666667,0.8723108544094003,-6.130704957932249,0.08194727669513269,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666
Validation,FP,49,0,0.8312668067346939,0.834889,3.6122448979591835,6.857142857142857,0.0,0.8312668067346939,1.0,4.705051682220147,12.53675124848818,0.06114279513620288,-12.787418992614269,-0.29917677215823457,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.10204081632653061
Validation,TN,228,0,0.2809812931140351,0.14757891,11.864035087719298,17.55263157894737,0.0,0.2809812931140351,0.0,4.225566406013448,12.864860186861865,1.1979856814959258,0.6336565716240186,-0.17357471608918648,1.5701754385964912,0.06578947368421052,0.06578947368421052,0.5789473684210527
Validation,TP,17,17,0.8421826623529413,0.8442415,3.5294117647058822,6.882352941176471,1.0,0.8421826623529413,1.0,4.842829123518923,13.31803180380912,0.01281168338238227,-10.454832357440562,-0.01172937211903466,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0
