Gate_Type,Branch,Feature,Gate_Value,Note
input,static,__mean__,1.0,input gate disabled
input,local,__mean__,1.0,input gate disabled
input,global,__mean__,1.0,input gate disabled
input,z3M,__mean__,1.0,input gate disabled
branch,static,__branch__,1.0,branch gate disabled
branch,local,__branch__,1.0,branch gate disabled
branch,global,__branch__,1.0,branch gate disabled
branch,z3M,__branch__,1.0,branch gate disabled
z3m_time_sigmoid,z3M,__temporal_test_mean__,0.053036343306303024,mean temporal-test z3M time gate
z3m_time_sigmoid,z3M,q05,0.052889663726091385,temporal-test z3M time gate quantile
z3m_time_sigmoid,z3M,q50,0.05308140441775322,temporal-test z3M time gate quantile
z3m_time_sigmoid,z3M,q95,0.053209591656923294,temporal-test z3M time gate quantile
