Interval_Name,Risk_Bin,N,Events,Mean_Predicted_Risk,Observed_Event_Rate,Window_Order
12M->18M,0.0-0.1,22,0,0.08774418668181817,0.0,3
12M->18M,0.1-0.2,61,0,0.12513162309836065,0.0,3
12M->18M,0.2-0.3,13,0,0.23644969615384617,0.0,3
12M->18M,0.3-0.4,5,0,0.331590864,0.0,3
12M->18M,0.4-0.5,5,2,0.44413644799999996,0.4,3
12M->18M,0.5-0.6,8,0,0.54343741375,0.0,3
12M->18M,0.6-0.7,4,0,0.6481218774999999,0.0,3
12M->18M,0.7-0.8,5,0,0.756294882,0.0,3
12M->18M,0.8-0.9,2,0,0.8338235700000001,0.0,3
12M->18M,0.9-1.0,0,0,,,3
18M->24M,0.0-0.1,42,0,0.0895337823095238,0.0,4
18M->24M,0.1-0.2,69,1,0.12248889665217391,0.014492753623188406,4
18M->24M,0.2-0.3,11,1,0.23182043181818182,0.09090909090909091,4
18M->24M,0.3-0.4,5,0,0.347344752,0.0,4
18M->24M,0.4-0.5,0,0,,,4
18M->24M,0.5-0.6,2,0,0.5914172,0.0,4
18M->24M,0.6-0.7,0,0,,,4
18M->24M,0.7-0.8,3,1,0.7308544166666667,0.3333333333333333,4
18M->24M,0.8-0.9,2,1,0.8448885749999999,0.5,4
18M->24M,0.9-1.0,0,0,,,4
1M->3M,0.0-0.1,0,0,,,0
1M->3M,0.1-0.2,0,0,,,0
1M->3M,0.2-0.3,0,0,,,0
1M->3M,0.3-0.4,0,0,,,0
1M->3M,0.4-0.5,0,0,,,0
1M->3M,0.5-0.6,0,0,,,0
1M->3M,0.6-0.7,0,0,,,0
1M->3M,0.7-0.8,16,4,0.7716666343749999,0.25,0
1M->3M,0.8-0.9,49,13,0.8359014879591836,0.2653061224489796,0
1M->3M,0.9-1.0,0,0,,,0
3M->6M,0.0-0.1,0,0,,,1
3M->6M,0.1-0.2,0,0,,,1
3M->6M,0.2-0.3,0,0,,,1
3M->6M,0.3-0.4,4,0,0.3740680475,0.0,1
3M->6M,0.4-0.5,4,0,0.442317925,0.0,1
3M->6M,0.5-0.6,7,1,0.5789371028571428,0.14285714285714285,1
3M->6M,0.6-0.7,15,2,0.6432788899999999,0.13333333333333333,1
3M->6M,0.7-0.8,18,2,0.7493265816666667,0.1111111111111111,1
3M->6M,0.8-0.9,22,5,0.8348989827272727,0.22727272727272727,1
3M->6M,0.9-1.0,0,0,,,1
6M->12M,0.0-0.1,0,0,,,2
6M->12M,0.1-0.2,2,0,0.189795785,0.0,2
6M->12M,0.2-0.3,15,0,0.2677185206666667,0.0,2
6M->12M,0.3-0.4,26,0,0.3457970442307693,0.0,2
6M->12M,0.4-0.5,17,1,0.4437005264705882,0.058823529411764705,2
6M->12M,0.5-0.6,11,0,0.5528850663636363,0.0,2
6M->12M,0.6-0.7,12,2,0.6498880258333334,0.16666666666666666,2
6M->12M,0.7-0.8,9,1,0.7678996988888889,0.1111111111111111,2
6M->12M,0.8-0.9,14,4,0.8543707592857144,0.2857142857142857,2
6M->12M,0.9-1.0,0,0,,,2
