Split,Top_Fraction,Selected_Patients,Captured_Event_Patients,Total_Event_Patients,Patient_Event_Capture,Precision,Lift
Train,0.05,27,17,134,0.12686567164179105,0.6296296296296297,2.4856274184632396
Train,0.1,53,31,134,0.23134328358208955,0.5849056603773585,2.309067868206139
Train,0.2,106,51,134,0.3805970149253731,0.4811320754716981,1.8993945367502114
Train,0.3,159,71,134,0.5298507462686567,0.44654088050314467,1.7628367595982355
Validation,0.05,5,3,20,0.15,0.6,2.91
Validation,0.1,10,5,20,0.25,0.5,2.4250000000000003
Validation,0.2,20,9,20,0.45,0.45,2.1825
Validation,0.3,30,11,20,0.55,0.36666666666666664,1.7783333333333333
TemporalTest,0.05,8,4,36,0.1111111111111111,0.5,2.2083333333333335
TemporalTest,0.1,16,9,36,0.25,0.5625,2.484375
TemporalTest,0.2,32,12,36,0.3333333333333333,0.375,1.65625
TemporalTest,0.3,48,19,36,0.5277777777777778,0.3958333333333333,1.7482638888888888
