Split,Aggregation_Method,Aggregation_Label,Risk_Column,Risk_Quartile,N,Events,Observed_Event_Rate,Mean_Aggregated_Risk,Mean_N_Intervals,Wilson_CI_Low,Wilson_CI_High,Risk_Min,Risk_Max
Train,mean_risk,Mean risk,Mean_Interval_Risk,Q1,133,0,0.0,0.24342087094799503,3.1578947368421053,0.0,0.028073334424619414,0.10212173,0.3339382375
Train,mean_risk,Mean risk,Mean_Interval_Risk,Q2,132,9,0.06818181818181818,0.3727810729179293,4.068181818181818,0.03628192294568009,0.12450534693335545,0.33423585,0.402158915
Train,mean_risk,Mean risk,Mean_Interval_Risk,Q3,132,38,0.2878787878787879,0.4608678736337122,3.893939393939394,0.2175001267148075,0.37025502340120997,0.403085206,0.527932796
Train,mean_risk,Mean risk,Mean_Interval_Risk,Q4,132,87,0.6590909090909091,0.7015957043777779,2.242424242424242,0.5747514992528577,0.7344321381601291,0.52867863,0.8836876
Validation,mean_risk,Mean risk,Mean_Interval_Risk,Q1,25,0,0.0,0.22547514631666668,3.04,0.0,0.13319649395317873,0.116158055,0.313900354
Validation,mean_risk,Mean risk,Mean_Interval_Risk,Q2,24,2,0.08333333333333333,0.3642597236097223,3.4166666666666665,0.023158327842973517,0.2584921520145059,0.32580597499999997,0.40515611500000004
Validation,mean_risk,Mean risk,Mean_Interval_Risk,Q3,24,7,0.2916666666666667,0.4544634320138889,4.0,0.14914460334164278,0.49168063658709704,0.4058864890000001,0.513537695
Validation,mean_risk,Mean risk,Mean_Interval_Risk,Q4,24,11,0.4583333333333333,0.7234953665277778,1.6666666666666667,0.27891058351681425,0.6492544644689338,0.5158561,0.87762773
TemporalTest,mean_risk,Mean risk,Mean_Interval_Risk,Q1,40,0,0.0,0.23714934410000002,3.025,0.0,0.08762453925039232,0.11652106500000001,0.315738961
TemporalTest,mean_risk,Mean risk,Mean_Interval_Risk,Q2,40,2,0.05,0.36889349569166663,3.75,0.013820377146101093,0.165041708179252,0.3218353825,0.40480121
TemporalTest,mean_risk,Mean risk,Mean_Interval_Risk,Q3,39,11,0.28205128205128205,0.45627692690128197,3.7435897435897436,0.16543325013943294,0.43775617322477384,0.40515688499999997,0.5286121766666667
TemporalTest,mean_risk,Mean risk,Mean_Interval_Risk,Q4,40,23,0.575,0.726837706475,2.075,0.4219480043605999,0.7149083147518411,0.5335856425000001,0.8815317
