Split,Top_Fraction,Selected_N,Captured_Events,Total_Events,Event_Capture,Precision,Lift
Train,0.05,90,34,146,0.2328767123287671,0.37777777777777777,4.647184170471841
Train,0.1,180,59,146,0.4041095890410959,0.3277777777777778,4.032115677321157
Train,0.15,270,77,146,0.5273972602739726,0.2851851851851852,3.508168442415018
Train,0.2,360,91,146,0.6232876712328768,0.25277777777777777,3.109512937595129
Train,0.3,539,118,146,0.8082191780821918,0.2189239332096475,2.6930642742775817
Validation,0.05,15,7,23,0.30434782608695654,0.4666666666666667,6.086956521739131
Validation,0.1,30,10,23,0.43478260869565216,0.3333333333333333,4.3478260869565215
Validation,0.15,45,15,23,0.6521739130434783,0.3333333333333333,4.3478260869565215
Validation,0.2,60,15,23,0.6521739130434783,0.25,3.2608695652173916
Validation,0.3,90,18,23,0.782608695652174,0.2,2.6086956521739135
TemporalTest,0.05,26,10,41,0.24390243902439024,0.38461538461538464,4.821763602251408
TemporalTest,0.1,52,17,41,0.4146341463414634,0.3269230769230769,4.098499061913697
TemporalTest,0.15,78,21,41,0.5121951219512195,0.2692307692307692,3.375234521575985
TemporalTest,0.2,103,25,41,0.6097560975609756,0.24271844660194175,3.0428605256926358
TemporalTest,0.3,155,31,41,0.7560975609756098,0.2,2.507317073170732
