TopK_Percent,Alerted_Patients,Total_Event_Patients,FourBranch_Captured,StaticOnly_Captured,FourBranch_Capture_Rate,StaticOnly_Capture_Rate,Random_Baseline
5,8,36,4,6,0.1111111111111111,0.16666666666666666,0.05
10,16,36,9,9,0.25,0.25,0.1
15,24,36,10,12,0.2777777777777778,0.3333333333333333,0.15
20,32,36,12,15,0.3333333333333333,0.4166666666666667,0.2
25,40,36,16,16,0.4444444444444444,0.4444444444444444,0.25
30,48,36,19,17,0.5277777777777778,0.4722222222222222,0.3
35,56,36,21,18,0.5833333333333334,0.5,0.35
40,64,36,24,18,0.6666666666666666,0.5,0.4
45,72,36,24,20,0.6666666666666666,0.5555555555555556,0.45
50,80,36,26,22,0.7222222222222222,0.6111111111111112,0.5
55,88,36,28,25,0.7777777777777778,0.6944444444444444,0.55
60,96,36,30,28,0.8333333333333334,0.7777777777777778,0.6
65,104,36,32,30,0.8888888888888888,0.8333333333333334,0.65
70,112,36,34,31,0.9444444444444444,0.8611111111111112,0.7
75,120,36,35,32,0.9722222222222222,0.8888888888888888,0.75
80,128,36,35,32,0.9722222222222222,0.8888888888888888,0.8
85,136,36,36,35,1.0,0.9722222222222222,0.85
90,144,36,36,35,1.0,0.9722222222222222,0.9
95,152,36,36,35,1.0,0.9722222222222222,0.95
100,159,36,36,36,1.0,1.0,1.0
