Model,Model_Label,Model_Group,Window,N_Fold_Estimates,MSE_Mean,MSE_Fold_SD,Mean_Fold_N,Mean_Fold_Events
FourBranch,4branch,Proposed,1M->3M,5,0.49825995278117896,0.082935330730011,13.6,3.4
GRU_Composite_z3M,GRU+z3M,Sequence baseline,1M->3M,25,0.5028054342073998,0.08954032029653196,12.2,2.6
GRU_BCE_noZ,GRU,Sequence baseline,1M->3M,25,0.5058247626644814,0.09614981403711174,12.2,2.6
LSTM_BCE_noZ,LSTM,Sequence baseline,1M->3M,25,0.5050910174666025,0.08553830400801882,12.2,2.6
FourBranch,4branch,Proposed,3M->6M,5,0.4402770421031253,0.04797222796377897,14.2,2.0
GRU_Composite_z3M,GRU+z3M,Sequence baseline,3M->6M,25,0.44983608027060357,0.040920853178371165,13.6,1.6
GRU_BCE_noZ,GRU,Sequence baseline,3M->6M,25,0.48630366707366357,0.04129578156286503,13.6,1.6
LSTM_BCE_noZ,LSTM,Sequence baseline,3M->6M,25,0.4742091004410799,0.04241725804455484,13.6,1.6
FourBranch,4branch,Proposed,6M->12M,5,0.2608300642735075,0.031810002648892825,22.0,1.6
GRU_Composite_z3M,GRU+z3M,Sequence baseline,6M->12M,25,0.25589982771459013,0.04885789220040851,20.8,0.8
GRU_BCE_noZ,GRU,Sequence baseline,6M->12M,25,0.25141274328725893,0.03294248106092242,20.8,0.8
LSTM_BCE_noZ,LSTM,Sequence baseline,6M->12M,25,0.25369824464650126,0.03255897726914897,20.8,0.8
FourBranch,4branch,Proposed,12M->24M,5,0.0681215866896825,0.026071656334954958,53.0,1.2
GRU_Composite_z3M,GRU+z3M,Sequence baseline,12M->24M,25,0.12201864285514363,0.04131900115151485,51.8,0.8
GRU_BCE_noZ,GRU,Sequence baseline,12M->24M,25,0.11164188354638989,0.029133704857514854,51.8,0.8
LSTM_BCE_noZ,LSTM,Sequence baseline,12M->24M,25,0.11754311537158559,0.027011471311208537,51.8,0.8
