Model,Model_Label,Model_Group,Window,N_Repeats,N,Events,Prevalence,AUC_Mean,AUC_SD,PR_AUC_Mean,PR_AUC_SD,PR_AUC_Lift_Mean,Status
FourBranch,4branch,Proposed,1M->3M,1,68,17,0.25,0.5086505190311419,0.0,0.25390230048539025,0.0,1.015609201941561,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5211538461538462,0.039805576144256484,0.24168087087178133,0.0443200144310798,1.1340410094752817,ok
GRU_BCE_noZ,GRU,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5217948717948718,0.058405492140406204,0.23095105495256635,0.02242534839944228,1.0836934117005037,ok
LSTM_BCE_noZ,LSTM,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5259615384615385,0.05346322938972573,0.256410610229761,0.040190253532190516,1.2031574787704171,ok
FourBranch,4branch,Proposed,3M->6M,1,71,10,0.14084507042253522,0.6459016393442623,0.0,0.3564379063904681,0.0,2.530709135372323,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.6020833333333333,0.02598744354918779,0.2862974660317031,0.07435941413930373,2.433528461269476,ok
GRU_BCE_noZ,GRU,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.56375,0.013215626272628069,0.21524075199061116,0.04496274820812299,1.829546391920195,ok
LSTM_BCE_noZ,LSTM,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.57375,0.0338142392754558,0.23421963773500454,0.12077866507929856,1.9908669207475387,ok
FourBranch,4branch,Proposed,6M->12M,1,110,8,0.07272727272727272,0.8370098039215687,0.0,0.3496937543133195,0.0,4.808289121808143,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9309999999999998,0.02896549671592046,0.35405102779244657,0.12397231087516355,9.205326722603612,low_events_interpret_cautiously
GRU_BCE_noZ,GRU,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9515,0.014628738838327784,0.42442204853969556,0.08900708668422967,11.034973262032086,low_events_interpret_cautiously
LSTM_BCE_noZ,LSTM,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9594999999999999,0.015524174696260004,0.41778499278499276,0.10569289578980018,10.862409812409812,low_events_interpret_cautiously
FourBranch,4branch,Proposed,12M->24M,1,265,6,0.022641509433962263,0.8777348777348777,0.0,0.2617098301308828,0.0,11.558850830780656,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,12M->24M,5,259,4,0.015444015444015444,0.7776470588235294,0.060455785172176174,0.1943835672329967,0.07377449723097367,12.586335978336537,low_events_interpret_cautiously
GRU_BCE_noZ,GRU,Sequence baseline,12M->24M,5,259,4,0.015444015444015444,0.8092156862745098,0.027768472105255668,0.29880415894438883,0.009401494680807572,19.347569291649176,low_events_interpret_cautiously
LSTM_BCE_noZ,LSTM,Sequence baseline,12M->24M,5,259,4,0.015444015444015444,0.8278431372549019,0.027364007881442387,0.19903253534481063,0.08029444282816296,12.887356663576488,low_events_interpret_cautiously
