Model,Model_Label,Model_Group,Window,N_Repeats,N,Events,Prevalence,AUC_Mean,AUC_SD,PR_AUC_Mean,PR_AUC_SD,PR_AUC_Lift_Mean,Status
FourBranch,4branch,Proposed,1M->3M,1,68,17,0.25,0.5086505190311419,0.0,0.25390230048539025,0.0,1.015609201941561,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5211538461538462,0.039805576144256484,0.24168087087178133,0.0443200144310798,1.1340410094752817,ok
GRU_BCE_noZ,GRU,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5217948717948718,0.058405492140406204,0.23095105495256635,0.02242534839944228,1.0836934117005037,ok
LSTM_BCE_noZ,LSTM,Sequence baseline,1M->3M,5,61,13,0.21311475409836061,0.5259615384615385,0.05346322938972573,0.256410610229761,0.040190253532190516,1.2031574787704171,ok
FourBranch,4branch,Proposed,3M->6M,1,71,10,0.14084507042253522,0.6459016393442623,0.0,0.3564379063904681,0.0,2.530709135372323,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.6020833333333333,0.02598744354918779,0.2862974660317031,0.07435941413930373,2.433528461269476,ok
GRU_BCE_noZ,GRU,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.56375,0.013215626272628069,0.21524075199061116,0.04496274820812299,1.829546391920195,ok
LSTM_BCE_noZ,LSTM,Sequence baseline,3M->6M,5,68,8,0.11764705882352941,0.57375,0.0338142392754558,0.23421963773500454,0.12077866507929856,1.9908669207475387,ok
FourBranch,4branch,Proposed,6M->12M,1,110,8,0.07272727272727272,0.8370098039215687,0.0,0.3496937543133195,0.0,4.808289121808143,ok
GRU_Composite_z3M,GRU+z3M,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9309999999999998,0.02896549671592046,0.35405102779244657,0.12397231087516355,9.205326722603612,low_events_interpret_cautiously
GRU_BCE_noZ,GRU,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9515,0.014628738838327784,0.42442204853969556,0.08900708668422967,11.034973262032086,low_events_interpret_cautiously
LSTM_BCE_noZ,LSTM,Sequence baseline,6M->12M,5,104,4,0.038461538461538464,0.9594999999999999,0.015524174696260004,0.41778499278499276,0.10569289578980018,10.862409812409812,low_events_interpret_cautiously
FourBranch,4branch,Proposed,12M->18M,1,128,2,0.015625,0.8412698412698413,0.0,0.06847826086956521,0.0,4.3826086956521735,low_events_interpret_cautiously
GRU_Composite_z3M,GRU+z3M,Sequence baseline,12M->18M,5,125,2,0.016,0.5227642276422765,0.132063154762382,0.026161048660793017,0.006766458721834923,1.6350655412995632,low_events_interpret_cautiously
GRU_BCE_noZ,GRU,Sequence baseline,12M->18M,5,125,2,0.016,0.5560975609756097,0.06398534104049107,0.02667649812572488,0.003787001811790944,1.667281132857805,low_events_interpret_cautiously
LSTM_BCE_noZ,LSTM,Sequence baseline,12M->18M,5,125,2,0.016,0.6300813008130082,0.06738655539870604,0.03249220284546371,0.0040758602425419515,2.0307626778414822,low_events_interpret_cautiously
FourBranch,4branch,Proposed,18M->24M,1,137,4,0.029197080291970802,0.9078947368421053,0.0,0.41888544891640866,0.0,14.346826625386997,low_events_interpret_cautiously
GRU_Composite_z3M,GRU+z3M,Sequence baseline,18M->24M,5,134,2,0.014925373134328356,0.9568181818181818,0.02150768116148238,0.587137862137862,0.03257393529896964,39.338236763236765,low_events_interpret_cautiously
GRU_BCE_noZ,GRU,Sequence baseline,18M->24M,5,134,2,0.014925373134328356,0.9795454545454545,0.009760680853579671,0.6502380952380953,0.04498929073878734,43.56595238095238,low_events_interpret_cautiously
LSTM_BCE_noZ,LSTM,Sequence baseline,18M->24M,5,134,2,0.014925373134328356,0.965909090909091,0.019165319152535623,0.5503846153846154,0.1156759853916024,36.87576923076923,low_events_interpret_cautiously
