Window,N,Events,Prevalence,AUC,PR_AUC,PR_AUC_Lift,Model,Model_Label,Model_Group,Repeat
1M->3M,68,17,0.25,0.5086505190311419,0.25390230048539025,1.015609201941561,FourBranch,4branch,Proposed,locked
3M->6M,71,10,0.14084507042253522,0.6459016393442623,0.3564379063904681,2.530709135372323,FourBranch,4branch,Proposed,locked
6M->12M,110,8,0.07272727272727272,0.8370098039215687,0.3496937543133195,4.808289121808143,FourBranch,4branch,Proposed,locked
12M->24M,265,6,0.022641509433962263,0.8777348777348777,0.2617098301308828,11.558850830780656,FourBranch,4branch,Proposed,locked
1M->3M,61,13,0.21311475409836064,0.5544871794871795,0.2392066192744926,1.1224310596726192,GRU_BCE_noZ,GRU,Sequence baseline,13
3M->6M,68,8,0.11764705882352941,0.5625,0.2770425383764936,2.3548615762001956,GRU_BCE_noZ,GRU,Sequence baseline,13
6M->12M,104,4,0.038461538461538464,0.9500000000000001,0.39215686274509803,10.196078431372548,GRU_BCE_noZ,GRU,Sequence baseline,13
12M->24M,259,4,0.015444015444015444,0.7970588235294117,0.29277276068465824,18.95703625433162,GRU_BCE_noZ,GRU,Sequence baseline,13
1M->3M,61,13,0.21311475409836064,0.42788461538461536,0.1903150279603425,0.8930166696600687,GRU_BCE_noZ,GRU,Sequence baseline,2025
3M->6M,68,8,0.11764705882352941,0.5479166666666666,0.20045797291588702,1.7038927697850397,GRU_BCE_noZ,GRU,Sequence baseline,2025
6M->12M,104,4,0.038461538461538464,0.9650000000000001,0.5458333333333333,14.191666666666665,GRU_BCE_noZ,GRU,Sequence baseline,2025
12M->24M,259,4,0.015444015444015444,0.8049019607843136,0.2858034747087182,18.505774987389504,GRU_BCE_noZ,GRU,Sequence baseline,2025
1M->3M,61,13,0.21311475409836064,0.532051282051282,0.23438537212953336,1.0998082846078105,GRU_BCE_noZ,GRU,Sequence baseline,20260507
3M->6M,68,8,0.11764705882352941,0.5645833333333333,0.16506866410593451,1.4030836449004433,GRU_BCE_noZ,GRU,Sequence baseline,20260507
6M->12M,104,4,0.038461538461538464,0.97,0.5075757575757576,13.196969696969695,GRU_BCE_noZ,GRU,Sequence baseline,20260507
12M->24M,259,4,0.015444015444015444,0.85,0.29680139693540525,19.217890451567488,GRU_BCE_noZ,GRU,Sequence baseline,20260507
1M->3M,61,13,0.21311475409836064,0.4935897435897436,0.23192772043168275,1.088276226640973,GRU_BCE_noZ,GRU,Sequence baseline,3407
3M->6M,68,8,0.11764705882352941,0.55625,0.17469815818597598,1.4849343445807959,GRU_BCE_noZ,GRU,Sequence baseline,3407
6M->12M,104,4,0.038461538461538464,0.93,0.3704545454545455,9.631818181818183,GRU_BCE_noZ,GRU,Sequence baseline,3407
12M->24M,259,4,0.015444015444015444,0.8264705882352941,0.31169871794871795,20.182491987179485,GRU_BCE_noZ,GRU,Sequence baseline,3407
1M->3M,61,13,0.21311475409836064,0.6009615384615384,0.2589205349667805,1.214934817921047,GRU_BCE_noZ,GRU,Sequence baseline,42
3M->6M,68,8,0.11764705882352941,0.5874999999999999,0.25893642636876474,2.2009596241345,GRU_BCE_noZ,GRU,Sequence baseline,42
6M->12M,104,4,0.038461538461538464,0.9425,0.3060897435897436,7.958333333333334,GRU_BCE_noZ,GRU,Sequence baseline,42
12M->24M,259,4,0.015444015444015444,0.7676470588235293,0.30694444444444446,19.87465277777778,GRU_BCE_noZ,GRU,Sequence baseline,42
1M->3M,61,13,0.21311475409836064,0.4967948717948718,0.21984299907088337,1.031570995640299,GRU_Composite_z3M,GRU+z3M,Sequence baseline,13
3M->6M,68,8,0.11764705882352941,0.5979166666666667,0.22021969534626237,1.8718674104432302,GRU_Composite_z3M,GRU+z3M,Sequence baseline,13
6M->12M,104,4,0.038461538461538464,0.9275,0.43656015037593987,11.350563909774436,GRU_Composite_z3M,GRU+z3M,Sequence baseline,13
12M->24M,259,4,0.015444015444015444,0.7372549019607844,0.14935371473530404,9.670653029110936,GRU_Composite_z3M,GRU+z3M,Sequence baseline,13
1M->3M,61,13,0.21311475409836064,0.5737179487179488,0.24663375573846857,1.1572814692343527,GRU_Composite_z3M,GRU+z3M,Sequence baseline,2025
3M->6M,68,8,0.11764705882352941,0.6395833333333333,0.4208112659565811,3.576895760630939,GRU_Composite_z3M,GRU+z3M,Sequence baseline,2025
6M->12M,104,4,0.038461538461538464,0.9075,0.21805555555555556,5.669444444444444,GRU_Composite_z3M,GRU+z3M,Sequence baseline,2025
12M->24M,259,4,0.015444015444015444,0.8372549019607843,0.09490883410374937,6.1453470082177715,GRU_Composite_z3M,GRU+z3M,Sequence baseline,2025
1M->3M,61,13,0.21311475409836064,0.45833333333333337,0.19478037863317352,0.913969468971045,GRU_Composite_z3M,GRU+z3M,Sequence baseline,20260507
3M->6M,68,8,0.11764705882352941,0.5916666666666666,0.2912869560234419,2.4759391261992563,GRU_Composite_z3M,GRU+z3M,Sequence baseline,20260507
6M->12M,104,4,0.038461538461538464,0.9625,0.4519230769230769,11.75,GRU_Composite_z3M,GRU+z3M,Sequence baseline,20260507
12M->24M,259,4,0.015444015444015444,0.776470588235294,0.28121537472853786,18.208695513672826,GRU_Composite_z3M,GRU+z3M,Sequence baseline,20260507
