Model,Model_Label,Model_Group,Window,N_Repeats,Threshold_Mean,N,Events,Alerts_Mean,TP_Mean,FP_Mean,TN_Mean,FN_Mean,Event_Capture_Mean,Alert_Rate_Mean,Precision_Mean
FourBranch,4branch,Proposed,1M->3M,1,0.785,68,17,57.0,15.0,42.0,9.0,2.0,0.8823529411764706,0.8382352941176471,0.2631578947368421
GRU_Composite_z3M,GRU+z3M,Sequence baseline,1M->3M,5,0.8482390799522401,61,13,18.4,3.4,15.0,33.0,9.6,0.26153846153846155,0.30163934426229505,0.17806485911749068
GRU_BCE_noZ,GRU,Sequence baseline,1M->3M,5,0.8611451148986816,61,13,19.0,4.4,14.6,33.4,8.6,0.3384615384615385,0.3114754098360656,0.1903452380952381
LSTM_BCE_noZ,LSTM,Sequence baseline,1M->3M,5,0.849870849132538,61,13,20.0,4.2,15.8,32.2,8.8,0.3230769230769231,0.3278688524590164,0.2084318996415771
FourBranch,4branch,Proposed,3M->6M,1,0.785,71,10,24.0,5.0,19.0,42.0,5.0,0.5,0.3380281690140845,0.20833333333333334
GRU_Composite_z3M,GRU+z3M,Sequence baseline,3M->6M,5,0.8482390799522401,68,8,16.2,3.4,12.8,47.2,4.6,0.425,0.2382352941176471,0.20906719011982172
GRU_BCE_noZ,GRU,Sequence baseline,3M->6M,5,0.8611451148986816,68,8,21.2,3.2,18.0,42.0,4.8,0.4,0.31176470588235294,0.15299145299145298
LSTM_BCE_noZ,LSTM,Sequence baseline,3M->6M,5,0.849870849132538,68,8,21.4,3.0,18.4,41.6,5.0,0.375,0.31470588235294117,0.1393688437166698
FourBranch,4branch,Proposed,6M->12M,1,0.785,110,8,17.0,4.0,13.0,89.0,4.0,0.5,0.15454545454545454,0.23529411764705882
GRU_Composite_z3M,GRU+z3M,Sequence baseline,6M->12M,5,0.8482390799522401,104,4,7.8,1.8,6.0,94.0,2.2,0.45,0.075,0.20598290598290597
GRU_BCE_noZ,GRU,Sequence baseline,6M->12M,5,0.8611451148986816,104,4,7.2,2.4,4.8,95.2,1.6,0.6,0.06923076923076923,0.33809523809523806
LSTM_BCE_noZ,LSTM,Sequence baseline,6M->12M,5,0.849870849132538,104,4,6.8,2.4,4.4,95.6,1.6,0.6,0.06538461538461539,0.35119047619047616
FourBranch,4branch,Proposed,12M->24M,1,0.785,265,6,5.0,1.0,4.0,255.0,5.0,0.16666666666666666,0.018867924528301886,0.2
GRU_Composite_z3M,GRU+z3M,Sequence baseline,12M->24M,5,0.8482390799522401,259,4,2.0,0.6,1.4,253.6,3.4,0.15,0.007722007722007722,0.3444444444444444
GRU_BCE_noZ,GRU,Sequence baseline,12M->24M,5,0.8611451148986816,259,4,2.2,1.0,1.2,253.8,3.0,0.25,0.008494208494208493,0.5333333333333334
LSTM_BCE_noZ,LSTM,Sequence baseline,12M->24M,5,0.849870849132538,259,4,2.6,0.8,1.8,253.2,3.2,0.2,0.010038610038610039,0.4458333333333333
